edge_type,role_group,source_id,source_name,source_display_name,source_type,work_id,work_name,work_type,work_genre,work_release_year
LyricistOf,contributor,17189,Ewan MacCrae,Ewan MacCrae,Person,17193,Echoes of the Old Way,Album,Celtic Folk,1980
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17193,Echoes of the Old Way,Album,Celtic Folk,1980
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17193,Echoes of the Old Way,Album,Celtic Folk,1980
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17196,Mist Over Skye,Song,Celtic Folk,1980
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17197,Where the Ravens Roam,Song,Celtic Folk,1980
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17198,Storm & Stone,Song,Celtic Folk,1980
ComposerOf,contributor,2512,Emir Yohannan,Emir Yohannan,Person,2510,Frozen Moment,Song,Dream Pop,1981
LyricistOf,contributor,2513,Samar Agarwal,Samar Agarwal,Person,2510,Frozen Moment,Song,Dream Pop,1981
PerformerOf,contributor,2511,Kavya Agrawal,Kavya Agrawal,Person,2510,Frozen Moment,Song,Dream Pop,1981
ComposerOf,contributor,9103,Chao Zhao,Chao Zhao,Person,9100,Handshake Heartbeat,Album,Indie Folk,1981
LyricistOf,contributor,9102,Gang Yin,Gang Yin,Person,9100,Handshake Heartbeat,Album,Indie Folk,1981
PerformerOf,contributor,9101,Jun Han,Jun Han,Person,9100,Handshake Heartbeat,Album,Indie Folk,1981
ProducerOf,contributor,9101,Jun Han,Jun Han,Person,9100,Handshake Heartbeat,Album,Indie Folk,1981
ComposerOf,contributor,15819,Jacob Hunter,Jacob Hunter,Person,15818,Chrysalis Dreams,Song,Alternative Rock,1981
PerformerOf,contributor,3897,Arkadiusz Flisiak,Arkadiusz Flisiak,Person,15818,Chrysalis Dreams,Song,Alternative Rock,1981
PerformerOf,contributor,9282,Asuka Fukuda,Asuka Fukuda,Person,15818,Chrysalis Dreams,Song,Alternative Rock,1981
PerformerOf,contributor,9281,Heino Ladeck,Heino Ladeck,Person,15818,Chrysalis Dreams,Song,Alternative Rock,1981
ComposerOf,contributor,17165,Finn McGraw,Finn McGraw,Person,17171,Blackwater Ballads,Album,Sea Shanties,1981
ComposerOf,contributor,17166,William Tidewell,William Tidewell,Person,17171,Blackwater Ballads,Album,Sea Shanties,1981
LyricistOf,contributor,17164,Rusty Riggins,Rusty Riggins,Person,17171,Blackwater Ballads,Album,Sea Shanties,1981
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17171,Blackwater Ballads,Album,Sea Shanties,1981
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17171,Blackwater Ballads,Album,Sea Shanties,1981
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17185,The Devil's Bargain,Song,Sea Shanties,1981
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17186,Seven Days to Port,Song,Sea Shanties,1981
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17187,"Drink Up, Me Boys",Song,Sea Shanties,1981
PerformerOf,contributor,17167,The Salty Wakes,The Salty Wakes,MusicalGroup,17188,The Silver Compass,Song,Sea Shanties,1981
ComposerOf,contributor,17190,Astrid Nørgaard,Astrid Nørgaard,Person,17194,Runes & Reverie,Album,Celtic Folk,1981
ComposerOf,contributor,17191,Freya Lindholm,Freya Lindholm,Person,17194,Runes & Reverie,Album,Celtic Folk,1981
LyricistOf,contributor,17189,Ewan MacCrae,Ewan MacCrae,Person,17194,Runes & Reverie,Album,Celtic Folk,1981
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17194,Runes & Reverie,Album,Celtic Folk,1981
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17194,Runes & Reverie,Album,Celtic Folk,1981
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17199,The Wanderer's Oath,Song,Celtic Folk,1981
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17200,Silver and Salt,Song,Celtic Folk,1981
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17201,Lost at Sea,Song,Celtic Folk,1981
ComposerOf,contributor,17190,Astrid Nørgaard,Astrid Nørgaard,Person,17195,Blood & Heather,Album,Celtic Folk,1982
ComposerOf,contributor,17191,Freya Lindholm,Freya Lindholm,Person,17195,Blood & Heather,Album,Celtic Folk,1982
LyricistOf,contributor,17189,Ewan MacCrae,Ewan MacCrae,Person,17195,Blood & Heather,Album,Celtic Folk,1982
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17195,Blood & Heather,Album,Celtic Folk,1982
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17195,Blood & Heather,Album,Celtic Folk,1982
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17202,The Icebound Maiden,Song,Celtic Folk,1982
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17203,Echoes of Skalds,Song,Celtic Folk,1982
PerformerOf,contributor,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,17204,Wild Hunt Waltz,Song,Celtic Folk,1982
LyricistOf,contributor,4584,Szymon Piguła,Szymon Piguła,Person,4583,Wellness Manifesto,Song,Speed Metal,1983
PerformerOf,contributor,4585,Cindy Smith,Cindy Smith,Person,4583,Wellness Manifesto,Song,Speed Metal,1983
ComposerOf,contributor,7028,John Graves,John Graves,Person,7026,Reflejo Interior,Song,Americana,1983
PerformerOf,contributor,7029,Jason Aguirre,Jason Aguirre,Person,7026,Reflejo Interior,Song,Americana,1983
PerformerOf,contributor,7027,Sheryl Roman,Sheryl Roman,Person,7026,Reflejo Interior,Song,Americana,1983
ProducerOf,contributor,7030,Matthew Lane,Matthew Lane,Person,7026,Reflejo Interior,Song,Americana,1983
ComposerOf,contributor,7392,Paige Adams,Paige Adams,Person,7671,Champagne and Sunshine,Song,Alternative Rock,1983
PerformerOf,contributor,7390,Ashley Cabrera,Ashley Cabrera,Person,7671,Champagne and Sunshine,Song,Alternative Rock,1983
PerformerOf,contributor,5213,Samantha Bullock,Samantha Bullock,Person,7671,Champagne and Sunshine,Song,Alternative Rock,1983
ComposerOf,contributor,1414,Diya Swamy,VYBE LORD,Person,1412,Miles Beyond Yesterday,Song,Indie Pop,1984
LyricistOf,contributor,1413,Feliciano Noguera-Vallejo,M¥TH,Person,1412,Miles Beyond Yesterday,Song,Indie Pop,1984
PerformerOf,contributor,1414,Diya Swamy,VYBE LORD,Person,1412,Miles Beyond Yesterday,Song,Indie Pop,1984
PerformerOf,contributor,1423,Halil Neuschäfer,Halil Neuschäfer,Person,1422,Radiant Grin,Song,Indie Rock,1984
PerformerOf,contributor,1424,Josephine Kabus,Josephine Kabus,Person,1422,Radiant Grin,Song,Indie Rock,1984
LyricistOf,contributor,2069,Andrew Williams,Andrew Williams,Person,2595,Ripples of Feathered Whispers,Song,Indie Pop,1984
PerformerOf,contributor,2070,Jay Walters,Jay Walters,Person,2595,Ripples of Feathered Whispers,Song,Indie Pop,1984
PerformerOf,contributor,16744,Quattro Voci,Quattro Voci,MusicalGroup,2595,Ripples of Feathered Whispers,Song,Indie Pop,1984
ProducerOf,contributor,2070,Jay Walters,Jay Walters,Person,2595,Ripples of Feathered Whispers,Song,Indie Pop,1984
ComposerOf,contributor,1103,Ekkehard Förster,Ekkehard Förster,Person,2615,Distant Echoes,Album,Southern Gothic Rock,1984
LyricistOf,contributor,1102,Sylvie Scholz,Sylvie Scholz,Person,2615,Distant Echoes,Album,Southern Gothic Rock,1984
PerformerOf,contributor,250,Mareen Schacht,Mareen Schacht,Person,2615,Distant Echoes,Album,Southern Gothic Rock,1984
PerformerOf,contributor,1102,Sylvie Scholz,Sylvie Scholz,Person,2615,Distant Echoes,Album,Southern Gothic Rock,1984
LyricistOf,contributor,2752,Thibault Potier,Thibault Potier,Person,2751,No One Else,Song,Indie Pop,1984
PerformerOf,contributor,2753,Marcel Camus-Meunier,Marcel Camus-Meunier,Person,2751,No One Else,Song,Indie Pop,1984
ProducerOf,contributor,2753,Marcel Camus-Meunier,Marcel Camus-Meunier,Person,2751,No One Else,Song,Indie Pop,1984
ComposerOf,contributor,2809,Lieve van Riet,Lieve van Riet,Person,2807,Roadmap to Nowhere,Song,Blues Rock,1984
LyricistOf,contributor,2808,Lizz van Santen,MOJO 2X,Person,2807,Roadmap to Nowhere,Song,Blues Rock,1984
PerformerOf,contributor,2812,Bart Wensen-Kof,Bart Wensen-Kof,Person,2807,Roadmap to Nowhere,Song,Blues Rock,1984
PerformerOf,contributor,2811,Maurits van Bunschoten,Maurits van Bunschoten,Person,2807,Roadmap to Nowhere,Song,Blues Rock,1984
PerformerOf,contributor,2810,Nina Mallien,Nina Mallien,Person,2807,Roadmap to Nowhere,Song,Blues Rock,1984
ProducerOf,contributor,2811,Maurits van Bunschoten,Maurits van Bunschoten,Person,2807,Roadmap to Nowhere,Song,Blues Rock,1984
ComposerOf,contributor,3126,Maik Mude,Maik Mude,Person,5284,Read Receipts and Regrets,Song,Blues Rock,1984
LyricistOf,contributor,3780,Krzysztof Linda,Krzysztof Linda,Person,5284,Read Receipts and Regrets,Song,Blues Rock,1984
PerformerOf,contributor,3781,Janos Zimmer,Janos Zimmer,Person,5284,Read Receipts and Regrets,Song,Blues Rock,1984
PerformerOf,contributor,3126,Maik Mude,Maik Mude,Person,5284,Read Receipts and Regrets,Song,Blues Rock,1984
PerformerOf,contributor,5385,Elizabeth Flores,Elizabeth Flores,Person,5383,Tropical Determination,Song,Indie Folk,1984
PerformerOf,contributor,5384,Jennifer Henderson,Jennifer Henderson,Person,5383,Tropical Determination,Song,Indie Folk,1984
ComposerOf,contributor,5437,Anaya Randhawa,Anaya Randhawa,Person,5436,Fields of Golden Promise,Song,Dream Pop,1984
LyricistOf,contributor,1932,Shaan Sanghvi,Shaan Sanghvi,Person,5436,Fields of Golden Promise,Song,Dream Pop,1984
PerformerOf,contributor,1932,Shaan Sanghvi,Shaan Sanghvi,Person,5436,Fields of Golden Promise,Song,Dream Pop,1984
ComposerOf,contributor,1914,Ewelina Jeszke,Ewelina Jeszke,Person,5802,Tribal Waters,Song,Indie Pop,1984
LyricistOf,contributor,5803,Kathleen Cunningham,Kathleen Cunningham,Person,5802,Tribal Waters,Song,Indie Pop,1984
PerformerOf,contributor,1530,Deborah Lucas,Deborah Lucas,Person,5802,Tribal Waters,Song,Indie Pop,1984
PerformerOf,contributor,5803,Kathleen Cunningham,Kathleen Cunningham,Person,5802,Tribal Waters,Song,Indie Pop,1984
ComposerOf,contributor,6030,Carlo Mazzacurati,Carlo Mazzacurati,Person,6363,Cascading Tenderness,Song,Dream Pop,1984
PerformerOf,contributor,6031,Benvenuto Lerner,Benvenuto Lerner,Person,6363,Cascading Tenderness,Song,Dream Pop,1984
PerformerOf,contributor,6030,Carlo Mazzacurati,Carlo Mazzacurati,Person,6363,Cascading Tenderness,Song,Dream Pop,1984
PerformerOf,contributor,16877,Misfit Bistro,Misfit Bistro,MusicalGroup,6363,Cascading Tenderness,Song,Dream Pop,1984
PerformerOf,contributor,6032,Rosaria Pedersoli,Rosaria Pedersoli,Person,6363,Cascading Tenderness,Song,Dream Pop,1984
PerformerOf,contributor,6029,Wally Beckmann,Wally Beckmann,Person,6363,Cascading Tenderness,Song,Dream Pop,1984
ComposerOf,contributor,1530,Deborah Lucas,Deborah Lucas,Person,6674,Närma dig friden (Approach the Peace),Song,Blues Rock,1984
LyricistOf,contributor,1914,Ewelina Jeszke,Ewelina Jeszke,Person,6674,Närma dig friden (Approach the Peace),Song,Blues Rock,1984
PerformerOf,contributor,1914,Ewelina Jeszke,Ewelina Jeszke,Person,6674,Närma dig friden (Approach the Peace),Song,Blues Rock,1984
ComposerOf,contributor,8052,Vít Svoboda,Vít Svoboda,Person,8050,Secrets Behind the Silence,Album,Speed Metal,1984
LyricistOf,contributor,8051,Thomas Lee,Thomas Lee,Person,8050,Secrets Behind the Silence,Album,Speed Metal,1984
PerformerOf,contributor,8053,Melissa Lucero,Melissa Lucero,Person,8050,Secrets Behind the Silence,Album,Speed Metal,1984
PerformerOf,contributor,8051,Thomas Lee,Thomas Lee,Person,8050,Secrets Behind the Silence,Album,Speed Metal,1984
PerformerOf,contributor,8054,Vasyl Jaroš,Vasyl Jaroš,Person,8050,Secrets Behind the Silence,Album,Speed Metal,1984
ProducerOf,contributor,8053,Melissa Lucero,Melissa Lucero,Person,8050,Secrets Behind the Silence,Album,Speed Metal,1984
ComposerOf,contributor,2110,Catherine Clay,Catherine Clay,Person,9048,Crossroads at Sunset,Song,Indie Rock,1984
PerformerOf,contributor,2110,Catherine Clay,Catherine Clay,Person,9048,Crossroads at Sunset,Song,Indie Rock,1984
PerformerOf,contributor,9050,Clara Seco-Pelayo,Clara Seco-Pelayo,Person,9048,Crossroads at Sunset,Song,Indie Rock,1984
PerformerOf,contributor,9049,Stephen Obrien,Stephen Obrien,Person,9048,Crossroads at Sunset,Song,Indie Rock,1984
ProducerOf,contributor,9050,Clara Seco-Pelayo,Clara Seco-Pelayo,Person,9048,Crossroads at Sunset,Song,Indie Rock,1984
LyricistOf,contributor,9383,Scott Richmond,Scott Richmond,Person,9382,Eternal Chairman's March,Song,Southern Gothic Rock,1984
PerformerOf,contributor,9384,Paula Mercado,Paula Mercado,Person,9382,Eternal Chairman's March,Song,Southern Gothic Rock,1984
PerformerOf,contributor,16863,Restless Verse,Restless Verse,MusicalGroup,9382,Eternal Chairman's March,Song,Southern Gothic Rock,1984
PerformerOf,contributor,9383,Scott Richmond,Scott Richmond,Person,9382,Eternal Chairman's March,Song,Southern Gothic Rock,1984
ProducerOf,contributor,16863,Restless Verse,Restless Verse,MusicalGroup,9382,Eternal Chairman's March,Song,Southern Gothic Rock,1984
ComposerOf,contributor,37,Hansh Ramanathan,Hansh Ramanathan,Person,10799,Southern Redemption Highway,Song,Blues Rock,1984
PerformerOf,contributor,3662,David Wilkerson,David Wilkerson,Person,10799,Southern Redemption Highway,Song,Blues Rock,1984
ProducerOf,contributor,3662,David Wilkerson,David Wilkerson,Person,10799,Southern Redemption Highway,Song,Blues Rock,1984
ComposerOf,contributor,12999,Leah Anderson,Leah Anderson,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
LyricistOf,contributor,8759,Daniel Collins,Daniel Collins,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
PerformerOf,contributor,8762,Amanda Morales,Amanda Morales,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
PerformerOf,contributor,8760,Barbara Moore,Barbara Moore,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
PerformerOf,contributor,8759,Daniel Collins,Daniel Collins,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
PerformerOf,contributor,7301,Michael Moore,Michael Moore,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
ProducerOf,contributor,8760,Barbara Moore,Barbara Moore,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
ProducerOf,contributor,7301,Michael Moore,Michael Moore,Person,13960,Whispers Beyond the Apocalypse,Album,Alternative Rock,1984
ComposerOf,contributor,2110,Catherine Clay,Catherine Clay,Person,14670,Proximity of the Heart,Song,Alternative Rock,1984
LyricistOf,contributor,5909,Kaitlyn Warren,Kaitlyn Warren,Person,14670,Proximity of the Heart,Song,Alternative Rock,1984
PerformerOf,contributor,2110,Catherine Clay,Catherine Clay,Person,14670,Proximity of the Heart,Song,Alternative Rock,1984
PerformerOf,contributor,5908,Georges Besnard,Georges Besnard,Person,14670,Proximity of the Heart,Song,Alternative Rock,1984
ComposerOf,contributor,15526,Katherine Wang,Katherine Wang,Person,15524,Maritime Marauder's Lament,Song,Jazz Surf Rock,1984
LyricistOf,contributor,15527,Olivia Solomon,Olivia Solomon,Person,15524,Maritime Marauder's Lament,Song,Jazz Surf Rock,1984
PerformerOf,contributor,15526,Katherine Wang,Katherine Wang,Person,15524,Maritime Marauder's Lament,Song,Jazz Surf Rock,1984
ProducerOf,contributor,15525,Rhonda Mcgee,Rhonda Mcgee,Person,15524,Maritime Marauder's Lament,Song,Jazz Surf Rock,1984
ComposerOf,contributor,17206,Fiona Mercer,Fiona Mercer,Person,17208,Miles & Moments,Album,Acoustic Folk,1984
ComposerOf,contributor,17205,Liam O'Sullivan,Liam O'Sullivan,Person,17208,Miles & Moments,Album,Acoustic Folk,1984
PerformerOf,contributor,17207,Wayfinder's Lament,Wayfinder's Lament,MusicalGroup,17208,Miles & Moments,Album,Acoustic Folk,1984
RecordedBy,label,17394,Oceanus Records,Oceanus Records,RecordLabel,17208,Miles & Moments,Album,Acoustic Folk,1984
PerformerOf,contributor,17207,Wayfinder's Lament,Wayfinder's Lament,MusicalGroup,17212,Songs We Left Behind,Song,Acoustic Folk,1984
PerformerOf,contributor,17207,Wayfinder's Lament,Wayfinder's Lament,MusicalGroup,17213,Three Coins and a Compass,Song,Acoustic Folk,1984
PerformerOf,contributor,17207,Wayfinder's Lament,Wayfinder's Lament,MusicalGroup,17214,Postcards from Nowhere,Song,Acoustic Folk,1984
PerformerOf,contributor,17207,Wayfinder's Lament,Wayfinder's Lament,MusicalGroup,17215,Where the Wildflowers Grow,Song,Acoustic Folk,1984
ComposerOf,contributor,1956,Dominic Riehl,Dominic Riehl,Person,1955,Prayers for the Crown,Song,Emo/Pop Punk,1985
PerformerOf,contributor,250,Mareen Schacht,Mareen Schacht,Person,1955,Prayers for the Crown,Song,Emo/Pop Punk,1985
ProducerOf,contributor,250,Mareen Schacht,Mareen Schacht,Person,1955,Prayers for the Crown,Song,Emo/Pop Punk,1985
ComposerOf,contributor,2300,Herr Detlef Geißler,Herr Detlef Geißler,Person,2299,Windswept Wanderer,Song,Blues Rock,1985
PerformerOf,contributor,2301,Elizabeth Webb,Elizabeth Webb,Person,2299,Windswept Wanderer,Song,Blues Rock,1985
PerformerOf,contributor,2300,Herr Detlef Geißler,Herr Detlef Geißler,Person,2299,Windswept Wanderer,Song,Blues Rock,1985
PerformerOf,contributor,235,Shannon Gordon,Shannon Gordon,Person,2299,Windswept Wanderer,Song,Blues Rock,1985
ProducerOf,contributor,2301,Elizabeth Webb,Elizabeth Webb,Person,2299,Windswept Wanderer,Song,Blues Rock,1985
ComposerOf,contributor,3268,Fang Kong,Fang Kong,Person,3267,Blood and Devotion,Song,Indie Pop,1985
PerformerOf,contributor,633,Guiying Shi,Guiying Shi,Person,3267,Blood and Devotion,Song,Indie Pop,1985
PerformerOf,contributor,3269,Ming Cheng,Ming Cheng,Person,3267,Blood and Devotion,Song,Indie Pop,1985
ComposerOf,contributor,3741,Andrew Dawson,Andrew Dawson,Person,3740,The Quantum of Affection,Song,Indie Pop,1985
LyricistOf,contributor,3352,Marcus Spence,Marcus Spence,Person,3740,The Quantum of Affection,Song,Indie Pop,1985
PerformerOf,contributor,3352,Marcus Spence,Marcus Spence,Person,3740,The Quantum of Affection,Song,Indie Pop,1985
ProducerOf,contributor,3742,David Wilcox,David Wilcox,Person,3740,The Quantum of Affection,Song,Indie Pop,1985
LyricistOf,contributor,3745,Elizabeth Shepherd,Elizabeth Shepherd,Person,3743,Denim Diary,Song,Southern Gothic Rock,1985
PerformerOf,contributor,3744,Kimberly Weaver,Kimberly Weaver,Person,3743,Denim Diary,Song,Southern Gothic Rock,1985
ProducerOf,contributor,3744,Kimberly Weaver,Kimberly Weaver,Person,3743,Denim Diary,Song,Southern Gothic Rock,1985
ComposerOf,contributor,3352,Marcus Spence,Marcus Spence,Person,3747,Garden State Memories,Song,Southern Gothic Rock,1985
PerformerOf,contributor,3742,David Wilcox,David Wilcox,Person,3747,Garden State Memories,Song,Southern Gothic Rock,1985
ProducerOf,contributor,3742,David Wilcox,David Wilcox,Person,3747,Garden State Memories,Song,Southern Gothic Rock,1985
LyricistOf,contributor,7264,Osamu Goto,Osamu Goto,Person,7263,Dusk's Melodic Embrace,Album,Alternative Rock,1985
PerformerOf,contributor,7265,Rika Yamamoto,Rika Yamamoto,Person,7263,Dusk's Melodic Embrace,Album,Alternative Rock,1985
ProducerOf,contributor,7265,Rika Yamamoto,Rika Yamamoto,Person,7263,Dusk's Melodic Embrace,Album,Alternative Rock,1985
LyricistOf,contributor,2110,Catherine Clay,Catherine Clay,Person,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
PerformerOf,contributor,5908,Georges Besnard,Georges Besnard,Person,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
PerformerOf,contributor,5909,Kaitlyn Warren,Kaitlyn Warren,Person,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
ProducerOf,contributor,5909,Kaitlyn Warren,Kaitlyn Warren,Person,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
ComposerOf,contributor,10234,Jason Baker,Jason Baker,Person,10232,Tonernas Samtal: En Barytons Bekännelse,Song,Indie Pop,1985
PerformerOf,contributor,10233,Natasha Duncan,Natasha Duncan,Person,10232,Tonernas Samtal: En Barytons Bekännelse,Song,Indie Pop,1985
PerformerOf,contributor,8929,Timothy Rios,Timothy Rios,Person,10232,Tonernas Samtal: En Barytons Bekännelse,Song,Indie Pop,1985
ComposerOf,contributor,11402,Jason Lopez,Jason Lopez,Person,11400,"Whoa, Whoa! (Remix Edition)",Song,Dream Pop,1985
PerformerOf,contributor,11402,Jason Lopez,Jason Lopez,Person,11400,"Whoa, Whoa! (Remix Edition)",Song,Dream Pop,1985
PerformerOf,contributor,11401,Patrick Carney,Patrick Carney,Person,11400,"Whoa, Whoa! (Remix Edition)",Song,Dream Pop,1985
ProducerOf,contributor,11403,Chao Hao,Chao Hao,Person,11400,"Whoa, Whoa! (Remix Edition)",Song,Dream Pop,1985
ComposerOf,contributor,11654,Justin Sullivan,Justin Sullivan,Person,11652,Shadows of Approval,Song,Synthwave,1985
PerformerOf,contributor,11654,Justin Sullivan,Justin Sullivan,Person,11652,Shadows of Approval,Song,Synthwave,1985
ProducerOf,contributor,11653,Tammy Higgins,Solar Omen,Person,11652,Shadows of Approval,Song,Synthwave,1985
ComposerOf,contributor,4189,Artur Nurkiewicz,Artur Nurkiewicz,Person,14927,Tailored Silence,Song,Southern Gothic Rock,1985
LyricistOf,contributor,14928,Erica Smith,Erica Smith,Person,14927,Tailored Silence,Song,Southern Gothic Rock,1985
PerformerOf,contributor,4336,Julian Biegała,Julian Biegała,Person,14927,Tailored Silence,Song,Southern Gothic Rock,1985
