influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year
CoverOf,7128,Anguish Unfolding,Anguish Unfolding,Song,Dream Pop,1992,9048,Crossroads at Sunset,Crossroads at Sunset,Song,Indie Rock,1984
InStyleOf,16440,Quiet Crosswalk,Quiet Crosswalk,Album,Blues Rock,1992,5802,Tribal Waters,Tribal Waters,Song,Indie Pop,1984
LyricalReferenceTo,9236,Saltwater Symphonies,Saltwater Symphonies,Song,Southern Gothic Rock,1992,2615,Distant Echoes,Distant Echoes,Album,Southern Gothic Rock,1984
CoverOf,7128,Anguish Unfolding,Anguish Unfolding,Song,Dream Pop,1992,14124,Welded Dreams,Welded Dreams,Song,Indie Rock,1986
InStyleOf,12345,Geisha's Midnight Melody,Geisha's Midnight Melody,Song,Blues Rock,1993,9382,Eternal Chairman's March,Eternal Chairman's March,Song,Southern Gothic Rock,1984
LyricalReferenceTo,9677,Emerald Horizons,Emerald Horizons,Album,Indie Pop,1993,3747,Garden State Memories,Garden State Memories,Song,Southern Gothic Rock,1985
DirectlySamples,15715,Echoes of the Forgotten Stream,Echoes of the Forgotten Stream,Song,Southern Gothic Rock,1993,16517,The Only Ones Who Know,The Only Ones Who Know,Song,Southern Gothic Rock,1986
CoverOf,12953,The Faithful's Call,The Faithful's Call,Song,Alternative Rock,1993,15578,Nordic Passions Unfolding,Nordic Passions Unfolding,Song,Indie Pop,1987
InStyleOf,11091,Stones and Pilgrims,Stones and Pilgrims,Song,Darkwave,1993,12058,Ink and Intention,Ink and Intention,Album,Darkwave,1990
CoverOf,10549,Unfinished Conversations,Unfinished Conversations,Song,Indie Pop,1993,5110,Wilderness Vows at Twilight,Wilderness Vows at Twilight,Song,Indie Pop,1991
DirectlySamples,8872,"Autumn Whispers, Heartbeats Tender","Autumn Whispers, Heartbeats Tender",Song,Speed Metal,1993,13430,Heartbeat Symphony,Heartbeat Symphony,Song,Speed Metal,1991
InterpolatesFrom,14109,Frozen Boulevards,Frozen Boulevards,Song,Indie Pop,1993,9817,Gudomlig Vandring (Divine Journey),Gudomlig Vandring (Divine Journey),Album,Southern Gothic Rock,1992
LyricalReferenceTo,4447,Concrete Horizon,Concrete Horizon,Song,Dream Pop,1994,15877,Psychoanalytic Desire,Psychoanalytic Desire,Song,Synthwave,1975
DirectlySamples,13421,"Misunderstood, Not Misguided","Misunderstood, Not Misguided",Song,Dream Pop,1994,2510,Frozen Moment,Frozen Moment,Song,Dream Pop,1981
LyricalReferenceTo,11352,Whispers of the Sussex Shoreline,Whispers of the Sussex Shoreline,Album,Indie Pop,1994,7671,Champagne and Sunshine,Champagne and Sunshine,Song,Alternative Rock,1983
CoverOf,6745,Temporal Horizon,Temporal Horizon,Song,Indie Pop,1994,2595,Ripples of Feathered Whispers,Ripples of Feathered Whispers,Song,Indie Pop,1984
DirectlySamples,5001,Chamber of Seven Shadows,Chamber of Seven Shadows,Song,Indie Rock,1994,1422,Radiant Grin,Radiant Grin,Song,Indie Rock,1984
DirectlySamples,6298,Bruised Wisdom,Bruised Wisdom,Song,Alternative Rock,1994,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
InStyleOf,15896,Whispers Unsaid,Whispers Unsaid,Song,Alternative Rock,1994,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
LyricalReferenceTo,12998,Purified by Divine Light,Purified by Divine Light,Song,Dream Pop,1994,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
DirectlySamples,13503,Fractured Reflections,Fractured Reflections,Song,Lo-Fi Electronica,1994,16298,Slow Motion Waltz,Slow Motion Waltz,Song,Lo-Fi Electronica,1985
CoverOf,12998,Purified by Divine Light,Purified by Divine Light,Song,Dream Pop,1994,9895,Sunbeam Stillness,Sunbeam Stillness,Song,Synthwave,1989
CoverOf,6983,Velvet Static,Velvet Static,Song,Synthpop,1994,1088,Munzur'un Fısıltıları (Whispers of the Munzur),Munzur'un Fısıltıları (Whispers of the Munzur),Song,Synthpop,1991
InStyleOf,3567,Unheard Whispers of the Heart,Unheard Whispers of the Heart,Song,Synthpop,1994,1088,Munzur'un Fısıltıları (Whispers of the Munzur),Munzur'un Fısıltıları (Whispers of the Munzur),Song,Synthpop,1991
InStyleOf,10094,Earth's Melody,Earth's Melody,Song,Dream Pop,1994,12039,Tiny Spark of Desire,Tiny Spark of Desire,Album,Alternative Rock,1991
InterpolatesFrom,14128,Factory Floor Symphony,Factory Floor Symphony,Song,Blues Rock,1994,12821,Droplets of Memory,Droplets of Memory,Song,Blues Rock,1991
DirectlySamples,12998,Purified by Divine Light,Purified by Divine Light,Song,Dream Pop,1994,4684,Huh?,Huh?,Song,Indie Folk,1994
CoverOf,1455,Lucifer's Rhythm,Lucifer's Rhythm,Song,Synthwave,1994,8355,Whispers of Self-Destruction,Whispers of Self-Destruction,Song,Synthwave,1996
InterpolatesFrom,13819,Ancestral Crimson,Ancestral Crimson,Song,Indie Rock,1995,7671,Champagne and Sunshine,Champagne and Sunshine,Song,Alternative Rock,1983
InStyleOf,1101,Sessiz Çığlıklar (Silent Screams),Sessiz Çığlıklar (Silent Screams),Album,Avant-Garde Folk,1995,2615,Distant Echoes,Distant Echoes,Album,Southern Gothic Rock,1984
LyricalReferenceTo,7891,Gravity of Desire,Gravity of Desire,Song,Blues Rock,1995,2751,No One Else,No One Else,Song,Indie Pop,1984
InStyleOf,4188,Pickaxe Lullaby,Pickaxe Lullaby,Song,Indie Pop,1995,3740,The Quantum of Affection,The Quantum of Affection,Song,Indie Pop,1985
LyricalReferenceTo,4188,Pickaxe Lullaby,Pickaxe Lullaby,Song,Indie Pop,1995,14927,Tailored Silence,Tailored Silence,Song,Southern Gothic Rock,1985
CoverOf,16543,Crimson Crossover,Crimson Crossover,Album,Dream Pop,1995,2843,Sunset Sips,Sunset Sips,Song,Southern Gothic Rock,1986
LyricalReferenceTo,8812,Tokyo Horizon,Tokyo Horizon,Song,Synthwave,1995,5663,Cognitive Disconnect,Cognitive Disconnect,Song,Indie Folk,1987
LyricalReferenceTo,15885,Intimate Rebellion,Intimate Rebellion,Song,Dream Pop,1995,16585,Digital Heartbeat,Digital Heartbeat,Song,Darkwave,1987
InStyleOf,4188,Pickaxe Lullaby,Pickaxe Lullaby,Song,Indie Pop,1995,4335,Žhavé ticho mezi námi,Žhavé ticho mezi námi,Song,Southern Gothic Rock,1991
DirectlySamples,8815,Shadows in Minor,Shadows in Minor,Album,Dream Pop,1996,2510,Frozen Moment,Frozen Moment,Song,Dream Pop,1981
InStyleOf,4861,Civic Pride: A Municipal Melody,Civic Pride: A Municipal Melody,Song,Speed Metal,1996,15702,Mirrors of Deception,Mirrors of Deception,Song,Speed Metal,1985
InStyleOf,16161,Stone and Water: A London Passage,Stone and Water: A London Passage,Song,Southern Gothic Rock,1996,15702,Mirrors of Deception,Mirrors of Deception,Song,Speed Metal,1985
InterpolatesFrom,2068,Mechanical Memoirs,Mechanical Memoirs,Song,Southern Gothic Rock,1996,3267,Blood and Devotion,Blood and Devotion,Song,Indie Pop,1985
InterpolatesFrom,1326,Sunlight of Serenity,Sunlight of Serenity,Song,Jazz Surf Rock,1996,12089,Whispers of Eternal Promise,Whispers of Eternal Promise,Album,Jazz Surf Rock,1987
InterpolatesFrom,3049,Whispers of Uncharted Worlds,Whispers of Uncharted Worlds,Album,Alternative Rock,1996,13525,Jubilee Rising,Jubilee Rising,Song,Alternative Rock,1987
InStyleOf,12979,Forgiveness Falls,Forgiveness Falls,Album,Southern Gothic Rock,1996,5110,Wilderness Vows at Twilight,Wilderness Vows at Twilight,Song,Indie Pop,1991
DirectlySamples,9535,Radiant Refractions,Radiant Refractions,Song,Indie Rock,1996,7128,Anguish Unfolding,Anguish Unfolding,Song,Dream Pop,1992
InStyleOf,16001,The Unbound Forgiver,The Unbound Forgiver,Song,Dream Pop,1996,16389,Silent Resilience,Silent Resilience,Song,Southern Gothic Rock,1992
CoverOf,6651,Whispers of Affection,Whispers of Affection,Song,Dream Pop,1996,12961,Monologue in Minor,Monologue in Minor,Album,Dream Pop,1994
InStyleOf,8815,Shadows in Minor,Shadows in Minor,Album,Dream Pop,1996,13421,"Misunderstood, Not Misguided","Misunderstood, Not Misguided",Song,Dream Pop,1994
CoverOf,16161,Stone and Water: A London Passage,Stone and Water: A London Passage,Song,Southern Gothic Rock,1996,4861,Civic Pride: A Municipal Melody,Civic Pride: A Municipal Melody,Song,Speed Metal,1996
DirectlySamples,11125,Glacial Heartlines,Glacial Heartlines,Album,Dream Pop,1997,2510,Frozen Moment,Frozen Moment,Song,Dream Pop,1981
InStyleOf,5907,Shattered Illusions,Shattered Illusions,Album,Indie Folk,1997,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
InterpolatesFrom,3962,Celestial Nativity,Celestial Nativity,Song,Speed Metal,1997,8050,Secrets Behind the Silence,Secrets Behind the Silence,Album,Speed Metal,1984
InterpolatesFrom,4992,Carnival's Pulse,Carnival's Pulse,Song,Indie Pop,1997,2807,Roadmap to Nowhere,Roadmap to Nowhere,Song,Blues Rock,1984
InterpolatesFrom,13303,Oxygen Rush,Oxygen Rush,Album,Dream Pop,1997,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
InterpolatesFrom,14628,Kırık Kalp Melody,Kırık Kalp Melody,Album,Alternative Rock,1997,14670,Proximity of the Heart,Proximity of the Heart,Song,Alternative Rock,1984
CoverOf,13331,Echoes of the Keyboard Meridian,Echoes of the Keyboard Meridian,Song,Emo/Pop Punk,1997,1955,Prayers for the Crown,Prayers for the Crown,Song,Emo/Pop Punk,1985
CoverOf,16659,Hey Now!,Hey Now!,Album,Darkwave,1997,7263,Dusk's Melodic Embrace,Dusk's Melodic Embrace,Album,Alternative Rock,1985
InStyleOf,9326,"Gypsy Heart, Restless Soul","Gypsy Heart, Restless Soul",Song,Indie Rock,1997,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
InStyleOf,11351,Pebbles and Pier: A Rustington Tale,Pebbles and Pier: A Rustington Tale,Song,Indie Folk,1997,8173,Savusauna Sydämessä (Smoke Sauna in My Heart),Savusauna Sydämessä (Smoke Sauna in My Heart),Song,Dream Pop,1985
InterpolatesFrom,3962,Celestial Nativity,Celestial Nativity,Song,Speed Metal,1997,16298,Slow Motion Waltz,Slow Motion Waltz,Song,Lo-Fi Electronica,1985
InterpolatesFrom,6300,"Fading Strength, Rising Insight","Fading Strength, Rising Insight",Song,Blues Rock,1997,3743,Denim Diary,Denim Diary,Song,Southern Gothic Rock,1985
LyricalReferenceTo,581,Travel Plans (With You),Travel Plans (With You),Song,Dream Pop,1997,11400,"Whoa, Whoa! (Remix Edition)","Whoa, Whoa! (Remix Edition)",Song,Dream Pop,1985
LyricalReferenceTo,731,Don't Hold Me Down,Don't Hold Me Down,Song,Lo-Fi Electronica,1997,16298,Slow Motion Waltz,Slow Motion Waltz,Song,Lo-Fi Electronica,1985
LyricalReferenceTo,5051,Whispers of Summer Wings,Whispers of Summer Wings,Song,Emo/Pop Punk,1997,1955,Prayers for the Crown,Prayers for the Crown,Song,Emo/Pop Punk,1985
InterpolatesFrom,7157,Salt and Silence,Salt and Silence,Song,Southern Gothic Rock,1997,16517,The Only Ones Who Know,The Only Ones Who Know,Song,Southern Gothic Rock,1986
LyricalReferenceTo,7157,Salt and Silence,Salt and Silence,Song,Southern Gothic Rock,1997,14851,Golden Horizon,Golden Horizon,Song,Blues Rock,1986
CoverOf,6984,Provocative Distance,Provocative Distance,Song,Southern Gothic Rock,1997,11468,Whispers of the Dance Floor,Whispers of the Dance Floor,Song,Southern Gothic Rock,1987
CoverOf,12742,Whispers of Sorrow in Diminished Chords,Whispers of Sorrow in Diminished Chords,Song,Darkwave,1997,16585,Digital Heartbeat,Digital Heartbeat,Song,Darkwave,1987
InStyleOf,5051,Whispers of Summer Wings,Whispers of Summer Wings,Song,Emo/Pop Punk,1997,6315,Iris to Iris,Iris to Iris,Song,Emo/Pop Punk,1987
InterpolatesFrom,4992,Carnival's Pulse,Carnival's Pulse,Song,Indie Pop,1997,7036,Voz Sin Eco,Voz Sin Eco,Song,Indie Pop,1987
InterpolatesFrom,13331,Echoes of the Keyboard Meridian,Echoes of the Keyboard Meridian,Song,Emo/Pop Punk,1997,6315,Iris to Iris,Iris to Iris,Song,Emo/Pop Punk,1987
InterpolatesFrom,14237,Letting Go (While Holding On),Letting Go (While Holding On),Song,Doom Metal,1997,14823,Hooves and Hushed Voices,Hooves and Hushed Voices,Song,Dream Pop,1987
LyricalReferenceTo,9449,Echoes of Vienna,Echoes of Vienna,Song,Darkwave,1997,16585,Digital Heartbeat,Digital Heartbeat,Song,Darkwave,1987
InStyleOf,6160,Outsiders By Design,Outsiders By Design,Song,Alternative Rock,1997,3071,Unanchored Soul,Unanchored Soul,Song,Alternative Rock,1988
LyricalReferenceTo,13331,Echoes of the Keyboard Meridian,Echoes of the Keyboard Meridian,Song,Emo/Pop Punk,1997,8230,Echoes of the Plateau,Echoes of the Plateau,Song,Emo/Pop Punk,1989
InStyleOf,14237,Letting Go (While Holding On),Letting Go (While Holding On),Song,Doom Metal,1997,6461,Thoughts That Won't Let Go,Thoughts That Won't Let Go,Album,Synthwave,1990
InStyleOf,15920,Lessons Beyond the Classroom,Lessons Beyond the Classroom,Album,Dream Pop,1997,4849,Keys to Heaven's Threshold,Keys to Heaven's Threshold,Album,Synthwave,1990
LyricalReferenceTo,9337,Rhythm of Her Steps,Rhythm of Her Steps,Song,Indie Folk,1997,12719,Rendered Memories,Rendered Memories,Song,Dream Pop,1990
CoverOf,13956,Sunbleached Memory,Sunbleached Memory,Album,Dream Pop,1997,8750,Rhapsody in Urban Rhythm,Rhapsody in Urban Rhythm,Album,Dream Pop,1991
InStyleOf,4609,Brass and Brass: A Polka Memoir,Brass and Brass: A Polka Memoir,Song,Avant-Garde Folk,1997,5110,Wilderness Vows at Twilight,Wilderness Vows at Twilight,Song,Indie Pop,1991
InStyleOf,12066,"Borrowed Time, Shared Heart","Borrowed Time, Shared Heart",Song,Synthpop,1997,1088,Munzur'un Fısıltıları (Whispers of the Munzur),Munzur'un Fısıltıları (Whispers of the Munzur),Song,Synthpop,1991
InStyleOf,15622,Whispers of Finality,Whispers of Finality,Song,Doom Metal,1997,9716,Echoes of Trenches,Echoes of Trenches,Song,Americana,1991
InStyleOf,16702,Shift of Mercy,Shift of Mercy,Song,Avant-Garde Folk,1997,11984,"Pilgrim Hearts, Rejoicing Night","Pilgrim Hearts, Rejoicing Night",Song,Blues Rock,1991
CoverOf,16182,Coronela's Last Stand,Coronela's Last Stand,Song,Southern Gothic Rock,1997,7799,Negadores Constantes,Negadores Constantes,Song,Blues Rock,1992
InterpolatesFrom,7157,Salt and Silence,Salt and Silence,Song,Southern Gothic Rock,1997,6946,Harmony in Three Voices,Harmony in Three Voices,Song,Blues Rock,1992
InStyleOf,7157,Salt and Silence,Salt and Silence,Song,Southern Gothic Rock,1997,15715,Echoes of the Forgotten Stream,Echoes of the Forgotten Stream,Song,Southern Gothic Rock,1993
CoverOf,7221,Shadows of a Tender Glance,Shadows of a Tender Glance,Song,Alternative Rock,1997,6639,When Walls Come Falling Down,When Walls Come Falling Down,Song,Alternative Rock,1994
DirectlySamples,16495,Landscapes of a Forgotten Melody,Landscapes of a Forgotten Melody,Song,Southern Gothic Rock,1997,8814,Longitude of Longing,Longitude of Longing,Song,Alternative Rock,1994
InStyleOf,10290,Wooden Shoe Blues,Wooden Shoe Blues,Album,Synthwave,1997,6368,Tender Embrace,Tender Embrace,Song,Synthwave,1994
InterpolatesFrom,13303,Oxygen Rush,Oxygen Rush,Album,Dream Pop,1997,6298,Bruised Wisdom,Bruised Wisdom,Song,Alternative Rock,1994
LyricalReferenceTo,2082,Illuminated Moments,Illuminated Moments,Song,Synthwave,1997,6368,Tender Embrace,Tender Embrace,Song,Synthwave,1994
LyricalReferenceTo,3819,Dominion's Twilight,Dominion's Twilight,Song,Synthwave,1997,11875,Brilliant Affection,Brilliant Affection,Song,Dream Pop,1994
LyricalReferenceTo,16495,Landscapes of a Forgotten Melody,Landscapes of a Forgotten Melody,Song,Southern Gothic Rock,1997,6745,Temporal Horizon,Temporal Horizon,Song,Indie Pop,1994
InStyleOf,9449,Echoes of Vienna,Echoes of Vienna,Song,Darkwave,1997,15885,Intimate Rebellion,Intimate Rebellion,Song,Dream Pop,1995
InStyleOf,12742,Whispers of Sorrow in Diminished Chords,Whispers of Sorrow in Diminished Chords,Song,Darkwave,1997,15885,Intimate Rebellion,Intimate Rebellion,Song,Dream Pop,1995
LyricalReferenceTo,16495,Landscapes of a Forgotten Melody,Landscapes of a Forgotten Melody,Song,Southern Gothic Rock,1997,13357,Harvest Moon's Embrace,Harvest Moon's Embrace,Album,Southern Gothic Rock,1995
CoverOf,13104,The Vertical Fall,The Vertical Fall,Song,Synthwave,1997,15622,Whispers of Finality,Whispers of Finality,Song,Doom Metal,1997
InStyleOf,12475,When the Music Fades,When the Music Fades,Song,Southern Gothic Rock,1997,9772,Whispers of the Wooden Wind,Whispers of the Wooden Wind,Song,Indie Pop,1997
InterpolatesFrom,10419,Lagoon's Legacy,Lagoon's Legacy,Song,Dream Pop,1997,11125,Glacial Heartlines,Glacial Heartlines,Album,Dream Pop,1997
LyricalReferenceTo,13956,Sunbleached Memory,Sunbleached Memory,Album,Dream Pop,1997,219,"Lasso My Heart, Cowboy","Lasso My Heart, Cowboy",Song,Dream Pop,1997
InStyleOf,7157,Salt and Silence,Salt and Silence,Song,Southern Gothic Rock,1997,13046,Mercy's Melody,Mercy's Melody,Song,Southern Gothic Rock,1999
InterpolatesFrom,1817,The Ballad of Billy's Bravado,The Ballad of Billy's Bravado,Album,Indie Rock,1997,3497,Resilience of the Spirit,Resilience of the Spirit,Album,Synthwave,2000
DirectlySamples,14094,Moonlit Metamorphosis,Moonlit Metamorphosis,Song,Speed Metal,1998,8050,Secrets Behind the Silence,Secrets Behind the Silence,Album,Speed Metal,1984
LyricalReferenceTo,10090,Candlelight Confessions,Candlelight Confessions,Song,Southern Gothic Rock,1998,2595,Ripples of Feathered Whispers,Ripples of Feathered Whispers,Song,Indie Pop,1984
InStyleOf,6072,Whispers of My Homeland,Whispers of My Homeland,Song,Synthwave,1998,11652,Shadows of Approval,Shadows of Approval,Song,Synthwave,1985
InStyleOf,9754,Uncharted Loneliness,Uncharted Loneliness,Album,Jazz Surf Rock,1998,12089,Whispers of Eternal Promise,Whispers of Eternal Promise,Album,Jazz Surf Rock,1987
InStyleOf,11327,Royal Reverence,Royal Reverence,Song,Lo-Fi Electronica,1998,6315,Iris to Iris,Iris to Iris,Song,Emo/Pop Punk,1987
InterpolatesFrom,6072,Whispers of My Homeland,Whispers of My Homeland,Song,Synthwave,1998,14518,Symphonic Prologue,Symphonic Prologue,Song,Synthwave,1991
LyricalReferenceTo,10090,Candlelight Confessions,Candlelight Confessions,Song,Southern Gothic Rock,1998,5110,Wilderness Vows at Twilight,Wilderness Vows at Twilight,Song,Indie Pop,1991
CoverOf,10090,Candlelight Confessions,Candlelight Confessions,Song,Southern Gothic Rock,1998,6868,Turning the Page,Turning the Page,Album,Indie Pop,1992
InStyleOf,14154,Fragments of a Mirror,Fragments of a Mirror,Song,Dream Pop,1998,7128,Anguish Unfolding,Anguish Unfolding,Song,Dream Pop,1992
InStyleOf,10090,Candlelight Confessions,Candlelight Confessions,Song,Southern Gothic Rock,1998,10549,Unfinished Conversations,Unfinished Conversations,Song,Indie Pop,1993
CoverOf,933,Crossroads of Change,Crossroads of Change,Song,Dream Pop,1998,6368,Tender Embrace,Tender Embrace,Song,Synthwave,1994
LyricalReferenceTo,10090,Candlelight Confessions,Candlelight Confessions,Song,Southern Gothic Rock,1998,6745,Temporal Horizon,Temporal Horizon,Song,Indie Pop,1994
InterpolatesFrom,14094,Moonlit Metamorphosis,Moonlit Metamorphosis,Song,Speed Metal,1998,11572,Fever Pitch Madness,Fever Pitch Madness,Song,Speed Metal,1995
