Direction,Influence_Type,OF_Song,OF_Song_Year,OF_Artist,Other_Song,Other_Genre,Other_Year,Other_Artist
OF Influenced Others,InStyleOf,Whispers from a Distant Refrain,2017,Monica Nelson,Radiance of the Heart,Synthwave,2029,"Chao Yang, Guiying Zheng, Ming Yao"
OF Influenced Others,LyricalReferenceTo,Choreography of Forbidden Passion,2017,"Bryan Smith, Emily Jackson, Ronald Kennedy",Radiance of the Heart,Synthwave,2029,"Chao Yang, Guiying Zheng, Ming Yao"
OF Influenced Others,CoverOf,Aerial Conquistadors,2026,"Guiying Liao, Jie Cui, Min Jin, Ping Sun, Yan Zou",Luminous Beam,Oceanus Folk,2023,"Crimson Theorem, Guiying Liao, Jie Cui, Jun Wen, Yan Zou"
OF Influenced Others,InStyleOf,Manger's Midnight,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen",Perfection's Reflection,Oceanus Folk,2023,"Juan Yu, Lei Jin, Loro, Qiang Song, Yong Shen"
OF Influenced Others,DirectlySamples,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Perfection's Reflection,Oceanus Folk,2023,"Juan Yu, Lei Jin, Loro, Qiang Song, Yong Shen"
OF Influenced Others,InterpolatesFrom,Rhythm Revolution,2022,"Chao Zeng, Gang Jiang, Jing Zhong, Xia Xiang",Legionary's Lament,Desert Rock,2023,"Guillaume Petitjean, Nath Henry, Odette Dupuy"
OF Influenced Others,LyricalReferenceTo,Fragments of Friendship,2024,"David Nash, Gang Yang",Legionary's Lament,Desert Rock,2023,"Guillaume Petitjean, Nath Henry, Odette Dupuy"
OF Influenced Others,LyricalReferenceTo,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Savanna's Ugly Beauty,Oceanus Folk,2026,"Chao Mo, Gang Pan"
OF Influenced Others,CoverOf,Whispers from a Distant Refrain,2017,Monica Nelson,Rebel Without a Pause,Oceanus Folk,2029,"Donna Ryan, Li Deng, Ping Feng"
OF Influenced Others,InStyleOf,Choreography of Forbidden Passion,2017,"Bryan Smith, Emily Jackson, Ronald Kennedy",Rebel Without a Pause,Oceanus Folk,2029,"Donna Ryan, Li Deng, Ping Feng"
OF Influenced Others,InStyleOf,Restless Phantoms,2020,"Evelyn Gordon, Gang Wang, Jie Yan, Min Gao, Wei Cheng, Yan Hou, Yang Yao",Rebel Without a Pause,Oceanus Folk,2029,"Donna Ryan, Li Deng, Ping Feng"
OF Influenced Others,CoverOf,Silent Eulogy at Your Feet,2026,"Jie Wan, Na Wen, Regina Davis",Rebel Without a Pause,Oceanus Folk,2029,"Donna Ryan, Li Deng, Ping Feng"
OF Influenced Others,InStyleOf,First Breath of Desire,2016,"Ming Wan, Qiang He, Qiang Lai",Shadows of the Minor Scale,Oceanus Folk,2017,Xia Yan
OF Influenced Others,DirectlySamples,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Dusty Miles,Dream Pop,2023,"Ming Dai, Tao Zou, Wei Gao, Xiulan Yi"
OF Influenced Others,LyricalReferenceTo,Drowning in Denial,2023,"Jing Ding, Li Zeng, Xiulan Yi",Dusty Miles,Dream Pop,2023,"Ming Dai, Tao Zou, Wei Gao, Xiulan Yi"
OF Influenced Others,CoverOf,Whispers of a Forgotten Melody,2013,"Lei Tao, Na Peng, Nadia van Dooren-de Jode Vastraedsd",Granite Heartbeat,Americana,2025,"Fang Yu, Min Gu, Xiulan Lin, Yan Jiang"
OF Influenced Others,InterpolatesFrom,Whispers from a Distant Refrain,2017,Monica Nelson,Brake Lights and Broken Hearts,Oceanus Folk,2026,"Lisa Martin, Monica Nelson, Richard Frazier, Sonia Weeks"
OF Influenced Others,InStyleOf,First Breath of Desire,2016,"Ming Wan, Qiang He, Qiang Lai",Inherited Arguments,Symphonic Metal,2029,"Chao Gao, Fang Lai, Jie Xia, William Ball"
OF Influenced Others,DirectlySamples,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Borrowed Time,Space Rock,2022,"James Maldonado, Jing Lei, Ming Yang, Xia Jin"
OF Influenced Others,DirectlySamples,Exile's Whisper,2004,Ann Holland,Borrowed Time,Space Rock,2022,"James Maldonado, Jing Lei, Ming Yang, Xia Jin"
OF Influenced Others,InStyleOf,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Unwanted (And Still Waiting),Synthpop,2027,"Fang Fu, Li Ma, Xavier Leclerc"
OF Influenced Others,InterpolatesFrom,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Destiny's Call,Oceanus Folk,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye"
OF Influenced Others,InterpolatesFrom,Chromatic Reflections on a Theme,2026,Stephen Allen,The One I've Been Waiting For,Desert Rock,2028,"Jun Guo, Na Qian, Yan Cai, Yang Yi"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Visions Beyond the Horizon,Oceanus Folk,2020,"Christopher Smith, Timothy Hansen"
OF Influenced Others,InterpolatesFrom,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Dreaming in Technicolor,Desert Rock,2024,Andrew Gordon
OF Influenced Others,LyricalReferenceTo,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Nullify the Provocateur,Indie Folk,2023,Li Zheng
OF Influenced Others,LyricalReferenceTo,Unwritten Lines Between Shadows,2010,Russell Bates,Abundance Overflowing,Oceanus Folk,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen"
OF Influenced Others,InStyleOf,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen","My Heart, Your Lifeline",Desert Rock,2023,"Fang Zheng, Ming Lai, Tao Yuan, Wei Liao, Xiuying Xue"
OF Influenced Others,InStyleOf,Sparks Unbound,2023,"Jose Garrett, Min Jin, Tao Lei","My Heart, Your Lifeline",Desert Rock,2023,"Fang Zheng, Ming Lai, Tao Yuan, Wei Liao, Xiuying Xue"
OF Influenced Others,CoverOf,Glance My Way,2013,"Aneta Pruschke-Sölzer, Cesare Cicilia, Filippo Pelli, Isabella Farinelli",Carry Me Through,Dream Pop,2017,"Aneta Pruschke-Sölzer, Filippo Pelli, Interval Shift, Martino Michelangeli"
OF Influenced Others,InStyleOf,Fragments of Consciousness,2014,"Alphons Donati-Pederiva, Augusto Villaverde Armengol, Feliciano Pizarro Moll, Filippo Pelli, Interval Shift, Martino Michelangeli",Carry Me Through,Dream Pop,2017,"Aneta Pruschke-Sölzer, Filippo Pelli, Interval Shift, Martino Michelangeli"
OF Influenced Others,DirectlySamples,Fragments of Consciousness,2014,"Alphons Donati-Pederiva, Augusto Villaverde Armengol, Feliciano Pizarro Moll, Filippo Pelli, Interval Shift, Martino Michelangeli",Rising From the Shadows,Synthwave,2022,"Gang Dong, Jun Lin"
OF Influenced Others,CoverOf,Whispers of Forever,2019,"Min Liang, Na Li, Na Yi, Xia Shao, Xia Wang",Rising From the Shadows,Synthwave,2022,"Gang Dong, Jun Lin"
OF Influenced Others,LyricalReferenceTo,Soft Collisions,2010,"Constance Guibert, Ignazio Pastine, Lauretta Tresoldi, Patrizio Antonello-Salvemini",Courage in Quiet Moments,Oceanus Folk,2023,"Laetitia Petitjean, Madeleine Pineau, Susan Da Silva"
OF Influenced Others,InterpolatesFrom,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Magnetic Desire,Indie Folk,2023,"Fang Zhu, Holly Valenzuela, Xia Zhu, Xiuying Fan, Yong Tao"
OF Influenced Others,CoverOf,Blueprint Whispers,2017,"Christophe-Émile Grégoire, Georges Chrétien, Luce Loiseau",Magnetic Desire,Indie Folk,2023,"Fang Zhu, Holly Valenzuela, Xia Zhu, Xiuying Fan, Yong Tao"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Beyond Our Limitations,Oceanus Folk,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Aerial Conquistadors,Oceanus Folk,2026,"Guiying Liao, Jie Cui, Min Jin, Ping Sun, Yan Zou"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Privacy's Edge,Indie Folk,2023,"Blazing Collective, Chao Song, Jonathan Diaz, Ming Zhao"
OF Influenced Others,CoverOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Shadows of Unexpressed Feelings,Dream Pop,2027,Jun Gu
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Shadows of Unexpressed Feelings,Dream Pop,2027,Jun Gu
OF Influenced Others,InterpolatesFrom,Exile's Whisper,2004,Ann Holland,Shadows of Unexpressed Feelings,Dream Pop,2027,Jun Gu
OF Influenced Others,InStyleOf,When Angels Breathe,2023,"Gang Ding, Min Lei, Rachel Rios, Tammie Johnson, Xia Shen",Wings of the Southern Cross,Oceanus Folk,2024,"Chao Xiao, Fang Duan, Qiang Xie, Wei Lai, Yong Dai"
OF Influenced Others,CoverOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Fragments of Flight,Oceanus Folk,2025,"Chao Tang, Gang Yin, Gang Zhang, Guiying Ding, Li Zou, Na Zou, Tao Lei, Wei Chang"
OF Influenced Others,DirectlySamples,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Melodía de Sentimientos,Desert Rock,2023,"Ming Liu, Tao Du, Yan Yan"
OF Influenced Others,LyricalReferenceTo,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Everything's Alright,Oceanus Folk,2020,"Kaori Kobayashi, Yui Kondo"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Everything's Alright,Oceanus Folk,2020,"Kaori Kobayashi, Yui Kondo"
OF Influenced Others,InStyleOf,Sylvan Bride's Lament,2010,"Ethan Sanchez, Fang Gu, Na Yang, Ping Cui, Yan Fang",Instrument Failure,Synthwave,2021,"Juan Yu, Lei Jin, Loro, Yong Lai, Yong Shen"
OF Influenced Others,InterpolatesFrom,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Echoes of Bananal's Green,Oceanus Folk,2026,"Ida Vigliotti, Margherita Giammusso, Pina Garrone"
OF Influenced Others,DirectlySamples,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Starlit Passion,Jazz Surf Rock,2023,"Chao Wan, Meagan Hendrix, Ming Hu, Yan Lu"
OF Influenced Others,InStyleOf,Manger's Midnight,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen",Starlit Passion,Jazz Surf Rock,2023,"Chao Wan, Meagan Hendrix, Ming Hu, Yan Lu"
OF Influenced Others,InStyleOf,Restless Phantoms,2020,"Evelyn Gordon, Gang Wang, Jie Yan, Min Gao, Wei Cheng, Yan Hou, Yang Yao",Último intento (Last attempt),Desert Rock,2030,"Guiying Tao, Jun Liu, Xiuying Cai"
OF Influenced Others,InStyleOf,Choreography of Forbidden Passion,2017,"Bryan Smith, Emily Jackson, Ronald Kennedy",Último intento (Last attempt),Desert Rock,2030,"Guiying Tao, Jun Liu, Xiuying Cai"
OF Influenced Others,CoverOf,Whispers from a Distant Refrain,2017,Monica Nelson,Último intento (Last attempt),Desert Rock,2030,"Guiying Tao, Jun Liu, Xiuying Cai"
OF Influenced Others,CoverOf,Brake Lights and Broken Hearts,2026,"Lisa Martin, Monica Nelson, Richard Frazier, Sonia Weeks",Último intento (Last attempt),Desert Rock,2030,"Guiying Tao, Jun Liu, Xiuying Cai"
OF Influenced Others,InterpolatesFrom,Scarlet Letter Sarah,2013,"Jing Guo, Li Wan, Mandy Hood, Min Kong, Operatic Pulse, Robert Villanueva, Tao Yao, Yang Zhao",Último intento (Last attempt),Desert Rock,2030,"Guiying Tao, Jun Liu, Xiuying Cai"
OF Influenced Others,InterpolatesFrom,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Whispers from Below,Oceanus Folk,2029,"Cosmic Drift, Na Ren, Tao Yin, Xia Cui, Xiuying Li"
OF Influenced Others,InStyleOf,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Whispers from Below,Oceanus Folk,2029,"Cosmic Drift, Na Ren, Tao Yin, Xia Cui, Xiuying Li"
OF Influenced Others,DirectlySamples,Hysterical Revenge,2004,"Alfred Thibault, Synaptic Stream, Thibault Hardy, Zoé-Agnès Delaunay",Halfway to Somewhere,Dream Pop,2017,Qiang Song
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Intricate Landscapes of Microscopic Kingdoms,Indie Folk,2026,"Alexandra King, Ashley Huang, Jacob Romero, Kirk Kemp"
OF Influenced Others,InStyleOf,Fragments of Flight,2025,"Chao Tang, Gang Yin, Gang Zhang, Guiying Ding, Li Zou, Na Zou, Tao Lei, Wei Chang",Beyond the Price Tag,Desert Rock,2026,"Christopher Conway, Isaac Brown, Samantha Mcneil"
OF Influenced Others,InterpolatesFrom,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Beyond the Price Tag,Desert Rock,2026,"Christopher Conway, Isaac Brown, Samantha Mcneil"
OF Influenced Others,InStyleOf,Falling Without a Parachute,2027,"Ming Du, Morgan Hernandez, Patricia Pope, Ping Shao",Beyond the Price Tag,Desert Rock,2026,"Christopher Conway, Isaac Brown, Samantha Mcneil"
OF Influenced Others,LyricalReferenceTo,Fragments of Flight,2025,"Chao Tang, Gang Yin, Gang Zhang, Guiying Ding, Li Zou, Na Zou, Tao Lei, Wei Chang",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,LyricalReferenceTo,Unbreakable Divine Shelter,2030,"Amber Smith, Cardboard Twenty-Five, Chao Zheng, Gang Zhu, Jie Su, Min Tian",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,InStyleOf,Synaptic Cereal Spoon,2026,"Guiying Cao, Jing Kang, Silver Seraph, Xia Xia, Xiuying Huang",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,InterpolatesFrom,Wrapped in Your Warmth,2024,"Matthew Murphy, Xiulan Zhong",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,InStyleOf,Whispers of Forever,2019,"Min Liang, Na Li, Na Yi, Xia Shao, Xia Wang",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,LyricalReferenceTo,Whispers Between Lovers,2026,Jun Yuan,Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,InterpolatesFrom,Whispers from Below,2029,"Cosmic Drift, Na Ren, Tao Yin, Xia Cui, Xiuying Li",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,InterpolatesFrom,Echoes of Joy,2023,"Guiying Tao, Ming Qiao",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,CoverOf,Aerial Conquistadors,2026,"Guiying Liao, Jie Cui, Min Jin, Ping Sun, Yan Zou",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,LyricalReferenceTo,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Skogens Fortelling (The Forest's Tale),Space Rock,2028,Min He
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Drowning in My Own Image,Indie Folk,2020,"Gang Huang, Lei Kong, Min Li, Na Cui, Xia Cheng, Yang Lu"
OF Influenced Others,InStyleOf,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Drowning in My Own Image,Indie Folk,2020,"Gang Huang, Lei Kong, Min Li, Na Cui, Xia Cheng, Yang Lu"
OF Influenced Others,InterpolatesFrom,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Sylvan Bride's Lament,Oceanus Folk,2010,"Ethan Sanchez, Fang Gu, Na Yang, Ping Cui, Yan Fang"
OF Influenced Others,CoverOf,Exile's Whisper,2004,Ann Holland,Sylvan Bride's Lament,Oceanus Folk,2010,"Ethan Sanchez, Fang Gu, Na Yang, Ping Cui, Yan Fang"
OF Influenced Others,CoverOf,Venom's Whisper,2004,"Guglielmo Canetta, Joker's Smile, Nicola Bernetti, Serena Lettiere, Vincentio Gentili",Faded Denim Days,Doom Metal,2007,"Guglielmo Canetta, Joker's Smile, Serena Lettiere, Vincentio Gentili"
OF Influenced Others,InStyleOf,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Tripartite Fanfare of Metallic Voices,Space Rock,2027,"Gang Du, Xia Wei, Yong Meng"
OF Influenced Others,InStyleOf,Landscape Echoes,2011,"Luciano Chindamo, Nicola Bernetti, Serena Lettiere, Vincentio Gentili",Windborne Dialogues of Three Horns,Indie Folk,2013,Joseph Adams
OF Influenced Others,InterpolatesFrom,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Six Feet From You,Oceanus Folk,2017,Raymond Martin
OF Influenced Others,InStyleOf,Boundless Threshold,2020,"Alexej Klotz, Elsbeth Löwer, Leif Bien, Margaretha Sager",Infused Intentions,Synthpop,2023,Mitchell Mcdonald
OF Influenced Others,InterpolatesFrom,Sylvan Bride's Lament,2010,"Ethan Sanchez, Fang Gu, Na Yang, Ping Cui, Yan Fang",Invisible Strings,Space Rock,2018,Kimberly Walker
OF Influenced Others,CoverOf,Visions Beyond the Horizon,2020,"Christopher Smith, Timothy Hansen",The Weight of Your Absence,Synthwave,2028,"Charles Jacobs, Jing Tao, Min Yao, Ping Mo"
OF Influenced Others,InterpolatesFrom,Earthsong Eternal,2013,"Adrien Weiss, Charles du Perez, Pauline Guyot de la Maillet, Zacharie Martins",Wayward Journey,Oceanus Folk,2022,"Jing Xiang, Min Huang, Tao Zou, Xiulan Hu, Yang Shao"
OF Influenced Others,InterpolatesFrom,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Push Through the Doubt,Dream Pop,2029,"Jun Yao, Qiang Cui, Qiang Yuan, Tao Liang, Yong Wen"
OF Influenced Others,InStyleOf,Fragments of Flight,2025,"Chao Tang, Gang Yin, Gang Zhang, Guiying Ding, Li Zou, Na Zou, Tao Lei, Wei Chang",Push Through the Doubt,Dream Pop,2029,"Jun Yao, Qiang Cui, Qiang Yuan, Tao Liang, Yong Wen"
OF Influenced Others,DirectlySamples,Mirage of Memories,2023,"Brandy Reyes, Laura Gibbs, Mary Medina, Raymond Mccoy, Rhonda Brown",Push Through the Doubt,Dream Pop,2029,"Jun Yao, Qiang Cui, Qiang Yuan, Tao Liang, Yong Wen"
OF Influenced Others,InStyleOf,Fragments of Friendship,2024,"David Nash, Gang Yang",Push Through the Doubt,Dream Pop,2029,"Jun Yao, Qiang Cui, Qiang Yuan, Tao Liang, Yong Wen"
OF Influenced Others,InStyleOf,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Push Through the Doubt,Dream Pop,2029,"Jun Yao, Qiang Cui, Qiang Yuan, Tao Liang, Yong Wen"
OF Influenced Others,CoverOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Push Through the Doubt,Dream Pop,2029,"Jun Yao, Qiang Cui, Qiang Yuan, Tao Liang, Yong Wen"
OF Influenced Others,CoverOf,Hysterical Revenge,2004,"Alfred Thibault, Synaptic Stream, Thibault Hardy, Zoé-Agnès Delaunay",Unfolding Path,Doom Metal,2026,"Lei Luo, Lisa Hart, Richard Johnson, Thomas King, Valerio Carullo, Yan Gao"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Twilight's Gentle Whisper,Oceanus Folk,2023,"Fang Zhong, Lei Tan, Li Qiao, Na Han, Ping Tao"
OF Influenced Others,CoverOf,Earthsong Eternal,2013,"Adrien Weiss, Charles du Perez, Pauline Guyot de la Maillet, Zacharie Martins",Twilight's Gentle Whisper,Oceanus Folk,2023,"Fang Zhong, Lei Tan, Li Qiao, Na Han, Ping Tao"
OF Influenced Others,InterpolatesFrom,Sylvan Bride's Lament,2010,"Ethan Sanchez, Fang Gu, Na Yang, Ping Cui, Yan Fang",Midsummer's Melody,Dream Pop,2027,"Cristian Bonilla, Guiying Ren, Lei Xue, Qiang Peng"
OF Influenced Others,InterpolatesFrom,Loud and Clear,2023,"Gang Shao, Jie Fan, Tao Dai, Wei Liao, Xiulan Lin",Whispers of Imagination,Space Rock,2027,"Chao Peng, Chao Qiao, Xiuying Lin"
OF Influenced Others,InStyleOf,Venom's Whisper,2004,"Guglielmo Canetta, Joker's Smile, Nicola Bernetti, Serena Lettiere, Vincentio Gentili",Nanjing Road Rhythm,Americana,2012,"Ivo Cannizzaro, Joker's Smile, Nicola Bernetti, Serena Lettiere, Vincentio Gentili"
OF Influenced Others,LyricalReferenceTo,Unbroken Silence,2004,"Guglielmo Canetta, Serena Lettiere, Vincentio Gentili",Nanjing Road Rhythm,Americana,2012,"Ivo Cannizzaro, Joker's Smile, Nicola Bernetti, Serena Lettiere, Vincentio Gentili"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Whispers of the Lô,Desert Rock,2029,"Gang Dai, Jie Tao, Lei Sun, Li Li, Xia Tang"
OF Influenced Others,InStyleOf,Courage in Quiet Moments,2023,"Laetitia Petitjean, Madeleine Pineau, Susan Da Silva",Whispers of the Lô,Desert Rock,2029,"Gang Dai, Jie Tao, Lei Sun, Li Li, Xia Tang"
OF Influenced Others,LyricalReferenceTo,Crimson Ledger of the Desert Riders,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He",Whispers of the Lô,Desert Rock,2029,"Gang Dai, Jie Tao, Lei Sun, Li Li, Xia Tang"
OF Influenced Others,InStyleOf,Twelve Months of You,2024,"Jing Long, Tao Qin, Xiuying Xiang",Currents of Homeland,Jazz Surf Rock,2029,"Chao Xiao, Jun Su, Lei Qian, Xiuying Kong"
OF Influenced Others,DirectlySamples,Reckless Hearts,2020,"Xiulan Dong, Xiuying Deng, Xiuying Zhang","Magnolia Nights, Southern Lights",Doom Metal,2023,"Gang Yu, Jason Mckenzie, Jun Cui, Jun Zhao"
OF Influenced Others,CoverOf,Exile's Whisper,2004,Ann Holland,Soft Collisions,Oceanus Folk,2010,"Constance Guibert, Ignazio Pastine, Lauretta Tresoldi, Patrizio Antonello-Salvemini"
OF Influenced Others,InterpolatesFrom,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Soft Collisions,Oceanus Folk,2010,"Constance Guibert, Ignazio Pastine, Lauretta Tresoldi, Patrizio Antonello-Salvemini"
OF Influenced Others,InterpolatesFrom,Blueprint Whispers,2017,"Christophe-Émile Grégoire, Georges Chrétien, Luce Loiseau",Fading Echoes,Doom Metal,2027,"Lisa Hart, Xiulan Yu, Xiuying Meng"
OF Influenced Others,InterpolatesFrom,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",The Last Sweet Moment,Dream Pop,2023,"Ping Sun, Stacey Martin"
OF Influenced Others,LyricalReferenceTo,Wavelengths of Lingering Queries,2009,"Jeffery Bailey, Ming Yan, Na Deng, Tao Hu, Walter White",Echoes of Devotion,Oceanus Folk,2023,"Eric Bartlett, Min Yan, Xia Zeng"
OF Influenced Others,InStyleOf,Tenement of Freedom,2014,"James Clark, Ming Su, Vanessa Ramos",Echoes of Devotion,Oceanus Folk,2023,"Eric Bartlett, Min Yan, Xia Zeng"
OF Influenced Others,CoverOf,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Thorns Between My Fingers,Indie Folk,2025,"Cosmic Drift, Lei Shen, Xia Cui, Xiuying Li"
OF Influenced Others,LyricalReferenceTo,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Thorns Between My Fingers,Indie Folk,2025,"Cosmic Drift, Lei Shen, Xia Cui, Xiuying Li"
OF Influenced Others,InStyleOf,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Thorns Between My Fingers,Indie Folk,2025,"Cosmic Drift, Lei Shen, Xia Cui, Xiuying Li"
