direction,influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year,other_genre
OF -> OF,CoverOf,11679,Snapshot of Forever,Snapshot of Forever,Song,Oceanus Folk,2026,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,InterpolatesFrom,16192,The Question That Lingers,The Question That Lingers,Song,Oceanus Folk,2026,12270,Shadows of a Forgotten Name,Shadows of a Forgotten Name,Song,Oceanus Folk,2013,
OF -> OF,InterpolatesFrom,16264,Ceremonial Footsteps,Ceremonial Footsteps,Song,Oceanus Folk,2026,9685,Earthsong Eternal,Earthsong Eternal,Song,Oceanus Folk,2013,
OF -> OF,CoverOf,16264,Ceremonial Footsteps,Ceremonial Footsteps,Song,Oceanus Folk,2026,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013,
OF -> OF,LyricalReferenceTo,1665,Savanna's Ugly Beauty,Savanna's Ugly Beauty,Song,Oceanus Folk,2026,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,2169,Brake Lights and Broken Hearts,Brake Lights and Broken Hearts,Song,Oceanus Folk,2026,6417,Whispers from a Distant Refrain,Whispers from a Distant Refrain,Album,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,3520,Aerial Conquistadors,Aerial Conquistadors,Song,Oceanus Folk,2026,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,4023,Echoes of Bananal's Green,Echoes of Bananal's Green,Song,Oceanus Folk,2026,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,LyricalReferenceTo,8453,Bullets and Badges,Bullets and Badges,Song,Oceanus Folk,2026,12691,Winds of the Basque Shore,Winds of the Basque Shore,Album,Oceanus Folk,2017,
OF -> OF,InStyleOf,10426,Somewhere Between Somewhere,Somewhere Between Somewhere,Song,Oceanus Folk,2026,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,LyricalReferenceTo,14220,Grip of Memory,Grip of Memory,Song,Oceanus Folk,2026,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,14220,Grip of Memory,Grip of Memory,Song,Oceanus Folk,2026,15441,Choreography of Forbidden Passion,Choreography of Forbidden Passion,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,16192,The Question That Lingers,The Question That Lingers,Song,Oceanus Folk,2026,6818,Paradise Parallel,Paradise Parallel,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,11655,Whispers Between Lovers,Whispers Between Lovers,Song,Oceanus Folk,2026,16457,Manger's Midnight,Manger's Midnight,Song,Oceanus Folk,2021,
OF -> OF,InStyleOf,12882,Cardiac Whispers,Cardiac Whispers,Song,Oceanus Folk,2026,2662,Rhythm Revolution,Rhythm Revolution,Album,Oceanus Folk,2022,
OF -> OF,InterpolatesFrom,14220,Grip of Memory,Grip of Memory,Song,Oceanus Folk,2026,16400,Aquatic Rebirth (1983),Aquatic Rebirth (1983),Song,Oceanus Folk,2023,
OF -> OF,CoverOf,14220,Grip of Memory,Grip of Memory,Song,Oceanus Folk,2026,3367,Courage in Quiet Moments,Courage in Quiet Moments,Song,Oceanus Folk,2023,
OF -> OF,DirectlySamples,8453,Bullets and Badges,Bullets and Badges,Song,Oceanus Folk,2026,3520,Aerial Conquistadors,Aerial Conquistadors,Song,Oceanus Folk,2026,
OF -> OF,DirectlySamples,13232,The Wisdom of Not Knowing,The Wisdom of Not Knowing,Song,Oceanus Folk,2027,13324,Exile's Whisper,Exile's Whisper,Song,Oceanus Folk,2004,
OF -> OF,CoverOf,13232,The Wisdom of Not Knowing,The Wisdom of Not Knowing,Song,Oceanus Folk,2027,3501,Beyond Our Limitations,Beyond Our Limitations,Song,Oceanus Folk,2007,
OF -> OF,InStyleOf,7876,Falling Without a Parachute,Falling Without a Parachute,Song,Oceanus Folk,2027,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,7876,Falling Without a Parachute,Falling Without a Parachute,Song,Oceanus Folk,2027,13327,Harmonic Latitude 458,Harmonic Latitude 458,Album,Oceanus Folk,2017,
OF -> OF,CoverOf,7876,Falling Without a Parachute,Falling Without a Parachute,Song,Oceanus Folk,2027,9096,Grip and Grace,Grip and Grace,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,12625,Whispers Between Dimensions,Whispers Between Dimensions,Song,Oceanus Folk,2027,14762,Heavenly Radiance,Heavenly Radiance,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,13232,The Wisdom of Not Knowing,The Wisdom of Not Knowing,Song,Oceanus Folk,2027,6417,Whispers from a Distant Refrain,Whispers from a Distant Refrain,Album,Oceanus Folk,2017,
OF -> OF,DirectlySamples,13232,The Wisdom of Not Knowing,The Wisdom of Not Knowing,Song,Oceanus Folk,2027,14762,Heavenly Radiance,Heavenly Radiance,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,9090,Palms of Passage,Palms of Passage,Song,Oceanus Folk,2028,6941,Echoes of Devotion,Echoes of Devotion,Song,Oceanus Folk,2023,
OF -> OF,InStyleOf,9090,Palms of Passage,Palms of Passage,Song,Oceanus Folk,2028,886,Loud and Clear,Loud and Clear,Song,Oceanus Folk,2023,
OF -> OF,InStyleOf,9090,Palms of Passage,Palms of Passage,Song,Oceanus Folk,2028,12362,Dust and Spurs,Dust and Spurs,Album,Oceanus Folk,2024,
OF -> OF,CoverOf,14666,Close Enough to Touch,Close Enough to Touch,Album,Oceanus Folk,2029,8233,Roots and Winds of Departure,Roots and Winds of Departure,Song,Oceanus Folk,2010,
OF -> OF,DirectlySamples,12490,Celestial Praise,Celestial Praise,Song,Oceanus Folk,2029,6611,Completely Crazy (About You),Completely Crazy (About You),Song,Oceanus Folk,2013,
OF -> OF,CoverOf,1823,Rebel Without a Pause,Rebel Without a Pause,Album,Oceanus Folk,2029,6417,Whispers from a Distant Refrain,Whispers from a Distant Refrain,Album,Oceanus Folk,2017,
OF -> OF,InStyleOf,1823,Rebel Without a Pause,Rebel Without a Pause,Album,Oceanus Folk,2029,15441,Choreography of Forbidden Passion,Choreography of Forbidden Passion,Song,Oceanus Folk,2017,
OF -> OF,InterpolatesFrom,4393,Whispers from Below,Whispers from Below,Song,Oceanus Folk,2029,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017,
OF -> OF,CoverOf,9493,Heroes of Honor,Heroes of Honor,Song,Oceanus Folk,2029,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017,
OF -> OF,DirectlySamples,12490,Celestial Praise,Celestial Praise,Song,Oceanus Folk,2029,9096,Grip and Grace,Grip and Grace,Song,Oceanus Folk,2017,
OF -> OF,LyricalReferenceTo,13396,Waiting by the Phone,Waiting by the Phone,Song,Oceanus Folk,2029,15441,Choreography of Forbidden Passion,Choreography of Forbidden Passion,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,1823,Rebel Without a Pause,Rebel Without a Pause,Album,Oceanus Folk,2029,8153,Restless Phantoms,Restless Phantoms,Song,Oceanus Folk,2020,
OF -> OF,InStyleOf,12490,Celestial Praise,Celestial Praise,Song,Oceanus Folk,2029,3909,Everything's Alright,Everything's Alright,Song,Oceanus Folk,2020,
OF -> OF,InStyleOf,4393,Whispers from Below,Whispers from Below,Song,Oceanus Folk,2029,7224,Postcards from Julianne's Heart,Postcards from Julianne's Heart,Song,Oceanus Folk,2022,
OF -> OF,InStyleOf,7147,Distant Horizons,Distant Horizons,Album,Oceanus Folk,2029,7224,Postcards from Julianne's Heart,Postcards from Julianne's Heart,Song,Oceanus Folk,2022,
OF -> OF,CoverOf,9493,Heroes of Honor,Heroes of Honor,Song,Oceanus Folk,2029,7224,Postcards from Julianne's Heart,Postcards from Julianne's Heart,Song,Oceanus Folk,2022,
OF -> OF,CoverOf,9655,Echoes Within,Echoes Within,Song,Oceanus Folk,2029,7224,Postcards from Julianne's Heart,Postcards from Julianne's Heart,Song,Oceanus Folk,2022,
OF -> OF,InStyleOf,7147,Distant Horizons,Distant Horizons,Album,Oceanus Folk,2029,14720,Crimson Ledger of the Desert Riders,Crimson Ledger of the Desert Riders,Song,Oceanus Folk,2023,
OF -> OF,CoverOf,9655,Echoes Within,Echoes Within,Song,Oceanus Folk,2029,3956,Eternal Light Descends,Eternal Light Descends,Song,Oceanus Folk,2023,
OF -> OF,InStyleOf,7147,Distant Horizons,Distant Horizons,Album,Oceanus Folk,2029,13516,Rings and Revelations,Rings and Revelations,Song,Oceanus Folk,2024,
OF -> OF,InterpolatesFrom,13396,Waiting by the Phone,Waiting by the Phone,Song,Oceanus Folk,2029,12067,Fragments of Friendship,Fragments of Friendship,Song,Oceanus Folk,2024,
OF -> OF,InStyleOf,16729,Battlefield Solitude,Battlefield Solitude,Album,Oceanus Folk,2029,7982,Twelve Months of You,Twelve Months of You,Song,Oceanus Folk,2024,
OF -> OF,CoverOf,1823,Rebel Without a Pause,Rebel Without a Pause,Album,Oceanus Folk,2029,9912,Silent Eulogy at Your Feet,Silent Eulogy at Your Feet,Song,Oceanus Folk,2026,
OF -> OF,CoverOf,14666,Close Enough to Touch,Close Enough to Touch,Album,Oceanus Folk,2029,13027,Shadows Beneath the Palm,Shadows Beneath the Palm,Song,Oceanus Folk,2026,
OF -> OF,LyricalReferenceTo,9493,Heroes of Honor,Heroes of Honor,Song,Oceanus Folk,2029,9090,Palms of Passage,Palms of Passage,Song,Oceanus Folk,2028,
OF -> OF,LyricalReferenceTo,12138,Unbreakable Divine Shelter,Unbreakable Divine Shelter,Song,Oceanus Folk,2030,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,12524,Reef Road Reverie,Reef Road Reverie,Song,Oceanus Folk,2030,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,
OF -> OF,InStyleOf,12138,Unbreakable Divine Shelter,Unbreakable Divine Shelter,Song,Oceanus Folk,2030,8858,Chromatic Reflections on a Theme,Chromatic Reflections on a Theme,Song,Oceanus Folk,2026,
OF -> OF,InStyleOf,17352,Whispers on the Jetty Wind,Whispers on the Jetty Wind,Song,Oceanus Folk,2031,11485,Eternal Connection,Eternal Connection,Album,Oceanus Folk,2010,
OF -> OF,CoverOf,17354,Seven Fathoms Deep,Seven Fathoms Deep,Song,Oceanus Folk,2031,7180,Aviator's First Dance,Aviator's First Dance,Song,Oceanus Folk,2023,
OF -> OF,InterpolatesFrom,17367,The Cartographer's Curse,The Cartographer's Curse,Song,Oceanus Folk,2035,3520,Aerial Conquistadors,Aerial Conquistadors,Song,Oceanus Folk,2026,
OF -> OF,InStyleOf,17125,When the Tide Calls My Name,When the Tide Calls My Name,Song,Oceanus Folk,2037,17245,Cresting Waves,Cresting Waves,Album,Oceanus Folk,2030,
OF -> Other,InStyleOf,8168,Heinäsirkat Soittaa (The Grasshoppers Play),Heinäsirkat Soittaa (The Grasshoppers Play),Album,Oceanus Folk,2000,5887,The Price of Freedom,The Price of Freedom,Song,Doom Metal,1997,Doom Metal
