artist_id,artist_name,artist_display_name,artist_type,stage_name,num_performed_works,num_all_contributed_works,all_role_types,primary_genre,all_performance_genres,first_performance_year,last_performance_year,career_span_years,num_notable_performed_works,performed_work_influence_received,is_oceanus_folk_artist
16846,The Forgotten Archives,The Forgotten Archives,MusicalGroup,,2,3,LyricistOf; PerformerOf,Lo-Fi Electronica,Lo-Fi Electronica,2003,2006,3,2,31,False
1758,Michael Boyd,Michael Boyd,Person,,8,8,ComposerOf; PerformerOf; ProducerOf,Avant-Garde Folk,Alternative Rock; Avant-Garde Folk; Blues Rock; Emo/Pop Punk; Indie Pop,1995,2027,32,7,30,False
1021,Przemysław Grupa,Przemysław Grupa,Person,,3,4,LyricistOf; PerformerOf; ProducerOf,Blues Rock,Blues Rock; Indie Pop; Southern Gothic Rock,1999,2013,14,3,30,False
3502,Ignazio Pastine,Valkyris,Person,Valkyris,3,3,PerformerOf,Oceanus Folk,Oceanus Folk,2007,2013,6,3,30,True
442,John Ferguson,John Ferguson,Person,,2,3,LyricistOf; PerformerOf,Dream Pop,Dream Pop; Jazz Surf Rock,2010,2019,9,2,30,False
2509,Qiang Dong,Qiang Dong,Person,,2,4,ComposerOf; PerformerOf; ProducerOf,Synthpop,Synthpop; Synthwave,2008,2017,9,2,30,False
4285,Navya Sastry,Navya Sastry,Person,,9,11,ComposerOf; PerformerOf; ProducerOf,Dream Pop,Desert Rock; Dream Pop; Indie Folk,2006,2022,16,8,29,False
2282,Angelina Dallapé-Brunelleschi,Angelina Dallapé-Brunelleschi,Person,,8,10,PerformerOf; ProducerOf,Alternative Rock,Alternative Rock; Dream Pop,2004,2024,20,8,29,False
883,Yang Peng,Yang Peng,Person,,7,7,PerformerOf; ProducerOf,Emo/Pop Punk,Avant-Garde Folk; Emo/Pop Punk,2000,2014,14,6,29,False
5908,Georges Besnard,Georges Besnard,Person,,7,11,LyricistOf; PerformerOf; ProducerOf,Alternative Rock,Alternative Rock; Blues Rock; Dream Pop; Indie Folk; Synthwave,1984,2013,29,7,29,False
16754,Nordic Echo,Nordic Echo,MusicalGroup,,6,7,ComposerOf; PerformerOf; ProducerOf,Emo/Pop Punk,Avant-Garde Folk; Emo/Pop Punk,2000,2014,14,5,29,False
593,Li Lei,Li Lei,Person,,3,7,LyricistOf; PerformerOf; ProducerOf,Darkwave,Darkwave; Desert Rock,2019,2025,6,3,28,False
236,Kimberly Castillo,Kimberly Castillo,Person,,9,11,PerformerOf; ProducerOf,Doom Metal,Blues Rock; Doom Metal; Dream Pop; Indie Folk; Indie Rock; Symphonic Metal,2007,2028,21,8,27,False
2281,Michelotto Comisso,Michelotto Comisso,Person,,8,10,ComposerOf; LyricistOf; PerformerOf,Alternative Rock,Alternative Rock; Dream Pop,2005,2024,19,8,27,False
141,Xia Wu,Xia Wu,Person,,6,10,ComposerOf; PerformerOf; ProducerOf,Emo/Pop Punk,Emo/Pop Punk; Lo-Fi Electronica; Southern Gothic Rock; Speed Metal,2003,2023,20,6,27,False
1250,Robin Webster,Robin Webster,Person,,5,10,LyricistOf; PerformerOf; ProducerOf,Indie Pop,Alternative Rock; Avant-Garde Folk; Blues Rock; Indie Pop,1991,2018,27,5,27,False
2592,Ping Zhong,Ping Zhong,Person,,8,8,ComposerOf; PerformerOf,Dream Pop,Americana; Dream Pop; Indie Folk; Synthwave,2012,2024,12,8,26,False
5646,Fang Bai,Fang Bai,Person,,6,6,ComposerOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Lo-Fi Electronica,1998,2020,22,5,26,False
3157,Jun Chang,Jun Chang,Person,,5,6,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Doom Metal,Americana; Doom Metal; Symphonic Metal,2000,2020,20,5,26,False
2508,Ping Ding,Ping Ding,Person,,3,3,ComposerOf; PerformerOf,Doom Metal,Doom Metal; Synthpop,2007,2021,14,3,26,False
16892,Embers of Wrath,Embers of Wrath,MusicalGroup,,1,3,ComposerOf; PerformerOf,Oceanus Folk,Oceanus Folk,2007,2007,0,1,26,True
1201,Xiuying Fan,Xiuying Fan,Person,,6,7,PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Folk; Synthwave,2008,2028,20,6,25,False
1312,Barbara Weitzel,Barbara Weitzel,Person,,4,4,ComposerOf; PerformerOf; ProducerOf,Jazz Surf Rock,Dream Pop; Jazz Surf Rock,1987,2029,42,4,25,False
16871,Midnight Protocol,Midnight Protocol,MusicalGroup,,2,3,PerformerOf; ProducerOf,Doom Metal,Doom Metal; Synthpop,2007,2017,10,2,25,False
2589,Lei Yuan,Lei Yuan,Person,,11,15,ComposerOf; LyricistOf; PerformerOf,Indie Folk,Americana; Indie Folk; Post-Apocalyptic Folk; Space Rock; Symphonic Metal; Synthwave,2012,2028,16,11,24,False
3352,Marcus Spence,Marcus Spence,Person,,10,13,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Indie Pop,Avant-Garde Folk; Indie Pop; Southern Gothic Rock,1985,2026,41,10,24,False
2536,Jun Zou,Jun Zou,Person,,6,9,ComposerOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Indie Pop; Lo-Fi Electronica,2007,2025,18,5,24,False
455,Yang Peng,Yang Peng,Person,,5,7,LyricistOf; PerformerOf; ProducerOf,Synthwave,Dream Pop; Indie Folk; Synthwave,1998,2003,5,5,24,False
1815,Konrad Goss,Konrad Goss,Person,,4,4,ComposerOf; PerformerOf,Indie Pop,Indie Pop; Southern Gothic Rock,2002,2009,7,4,24,False
16750,Zenith Horizon,Zenith Horizon,MusicalGroup,,6,8,ComposerOf; LyricistOf; PerformerOf,Southern Gothic Rock,Alternative Rock; Blues Rock; Emo/Pop Punk; Southern Gothic Rock,1987,2029,42,6,23,False
304,Belinda Knappe,Belinda Knappe,Person,,9,13,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Indie Folk; Symphonic Metal; Synthwave,2004,2023,19,9,22,False
1327,Fang Zou,Fang Zou,Person,,9,12,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Jazz Surf Rock,Desert Rock; Dream Pop; Indie Rock; Jazz Surf Rock; Lo-Fi Electronica,1996,2029,33,9,22,False
5258,Gianfranco Falier,Gianfranco Falier,Person,,6,8,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Dream Pop; Indie Rock; Synthwave,2007,2025,18,6,22,False
8381,Juan Fan,Juan Fan,Person,,6,6,ComposerOf; PerformerOf,Dream Pop,Americana; Dream Pop; Indie Folk,2012,2022,10,6,22,False
16762,SideShift,SideShift,MusicalGroup,,6,6,LyricistOf; PerformerOf; ProducerOf,Dream Pop,Americana; Dream Pop; Indie Folk,2012,2022,10,6,22,False
16747,The Wandering Pulse,The Wandering Pulse,MusicalGroup,,7,10,ComposerOf; PerformerOf; ProducerOf,Alternative Rock,Alternative Rock; Dream Pop,2004,2024,20,7,21,False
16751,Nordic Kitchen Collective,Nordic Kitchen Collective,MusicalGroup,,7,8,ComposerOf; PerformerOf; ProducerOf,Dream Pop,Americana; Dream Pop,2020,2029,9,7,21,False
882,Yan Jin,Yan Jin,Person,,5,7,LyricistOf; PerformerOf,Emo/Pop Punk,Avant-Garde Folk; Emo/Pop Punk,2003,2014,11,5,21,False
897,Brian Johnson,Brian Johnson,Person,,5,6,LyricistOf; PerformerOf; ProducerOf,Dream Pop,Desert Rock; Dream Pop; Synthwave,2004,2020,16,5,21,False
8212,Wei Du,Wei Du,Person,,3,3,LyricistOf; PerformerOf,Lo-Fi Electronica,Lo-Fi Electronica; Psychedelic Rock,2009,2024,15,3,21,False
405,Leyla Graf-Gotthard,Leyla Graf-Gotthard,Person,,16,17,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Indie Folk; Synthwave,2007,2029,22,15,20,False
3125,Jana Lindner,Jana Lindner,Person,,8,8,LyricistOf; PerformerOf; ProducerOf,Indie Pop,Avant-Garde Folk; Emo/Pop Punk; Indie Pop; Southern Gothic Rock,2005,2019,14,8,20,False
3336,Lucrezia Zamengo,Lucrezia Zamengo,Person,,8,9,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Alternative Rock,Alternative Rock; Dream Pop,2004,2024,20,8,20,False
16764,Burrowing Rodent,Burrowing Rodent,MusicalGroup,,5,5,PerformerOf; ProducerOf,Indie Rock,Doom Metal; Indie Rock,2015,2029,14,5,20,False
1614,Michelangelo Nolcini,Michelangelo Nolcini,Person,,4,5,LyricistOf; PerformerOf,Indie Rock,Doom Metal; Indie Rock,2015,2029,14,4,20,False
3326,Laurie Campbell,Laurie Campbell,Person,,4,4,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Emo/Pop Punk,Emo/Pop Punk; Indie Pop,1992,2013,21,4,20,False
6317,Bradley Hayes,Bradley Hayes,Person,,4,8,ComposerOf; LyricistOf; PerformerOf,Southern Gothic Rock,Blues Rock; Emo/Pop Punk; Southern Gothic Rock,1987,2029,42,4,20,False
5705,Adam Davis,Adam Davis,Person,,2,5,ComposerOf; LyricistOf; PerformerOf,Avant-Garde Folk,Avant-Garde Folk; Emo/Pop Punk,1989,2020,31,2,20,False
355,Juan Yin,Juan Yin,Person,,8,8,ComposerOf; PerformerOf,Americana,Americana; Desert Rock; Doom Metal; Dream Pop; Post-Apocalyptic Folk; Space Rock; Symphonic Metal,2013,2029,16,7,19,False
2363,Daniël Reijers,Daniël Reijers,Person,,8,14,ComposerOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Indie Rock; Lo-Fi Electronica,2013,2029,16,7,19,False
4608,Wei Yuan,Wei Yuan,Person,,5,5,ComposerOf; PerformerOf; ProducerOf,Desert Rock,Darkwave; Desert Rock; Dream Pop,2022,2028,6,5,19,False
16775,Starseed,Starseed,MusicalGroup,,5,5,ComposerOf; PerformerOf; ProducerOf,Desert Rock,Darkwave; Desert Rock; Dream Pop,2022,2028,6,5,19,False
10661,Angelina Sölzer,Angelina Sölzer,Person,,4,5,PerformerOf; ProducerOf,Dream Pop,Dream Pop,2023,2028,5,4,19,False
1615,Nada Pechel,Nada Pechel,Person,,3,4,ComposerOf; PerformerOf,Indie Rock,Indie Rock,2015,2029,14,3,19,False
2552,Vidur Kapadia,Vidur Kapadia,Person,,3,9,ComposerOf; LyricistOf; PerformerOf,Alternative Rock,Alternative Rock,2003,2010,7,3,19,False
10347,Robert Garcia,Robert Garcia,Person,,3,3,PerformerOf,Dream Pop,Dream Pop; Synthwave,2017,2023,6,3,19,False
16870,Luminous Fracture,Luminous Fracture,MusicalGroup,,3,3,ComposerOf; PerformerOf,Dream Pop,Dream Pop; Synthwave,2017,2023,6,3,19,False
9288,Anthony Ortega,Anthony Ortega,Person,,1,3,LyricistOf; PerformerOf,Speed Metal,Speed Metal,1987,1987,0,1,19,False
3135,Chelsea Martinez,Chelsea Martinez,Person,,10,13,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Doom Metal; Dream Pop; Indie Folk; Indie Rock,2007,2026,19,10,18,False
1251,Eugenia Mitschke,Eugenia Mitschke,Person,,9,12,LyricistOf; PerformerOf; ProducerOf,Indie Pop,Alternative Rock; Avant-Garde Folk; Blues Rock; Indie Pop; Southern Gothic Rock,2010,2029,19,9,18,False
115,Ping Meng,Ping Meng,Person,,8,15,LyricistOf; PerformerOf; ProducerOf,Lo-Fi Electronica,Alternative Rock; Lo-Fi Electronica,2007,2027,20,8,18,False
3366,Xiuying Yao,Xiuying Yao,Person,,7,9,ComposerOf; LyricistOf; PerformerOf,Darkwave,Darkwave; Desert Rock; Dream Pop; Post-Apocalyptic Folk,2019,2028,9,6,18,False
16749,Radical Syntax,Radical Syntax,MusicalGroup,,7,8,ComposerOf; PerformerOf,Doom Metal,Blues Rock; Doom Metal; Dream Pop; Indie Rock; Symphonic Metal; Synthwave,2010,2028,18,7,18,False
302,Cindy Lübs,Cindy Lübs,Person,,6,7,LyricistOf; PerformerOf,Doom Metal,Doom Metal; Indie Folk; Indie Rock; Symphonic Metal,2007,2027,20,6,18,False
2305,Li Zheng,Li Zheng,Person,,5,8,ComposerOf; LyricistOf; PerformerOf,Alternative Rock,Alternative Rock; Avant-Garde Folk; Indie Pop; Southern Gothic Rock,2010,2025,15,4,18,False
16770,Lunar Syntax,Lunar Syntax,MusicalGroup,,5,5,LyricistOf; PerformerOf,Desert Rock,Desert Rock; Doom Metal; Dream Pop; Post-Apocalyptic Folk; Symphonic Metal,2013,2024,11,5,18,False
75,Juan Feng,Juan Feng,Person,,4,5,ComposerOf; PerformerOf,Synthwave,Indie Folk; Psychedelic Rock; Synthwave,1999,2017,18,2,18,False
16768,Liquid Vortex,Liquid Vortex,MusicalGroup,,3,5,ComposerOf; LyricistOf; PerformerOf,Dream Pop,Dream Pop,2023,2028,5,3,18,False
415,Denise Bell,Denise Bell,Person,,2,3,LyricistOf; PerformerOf,Emo/Pop Punk,Emo/Pop Punk,1987,2004,17,2,18,False
2006,Filippo Pelli,Filippo Pelli,Person,,10,11,LyricistOf; PerformerOf; ProducerOf,Oceanus Folk,Americana; Doom Metal; Dream Pop; Indie Folk; Oceanus Folk,2004,2024,20,10,17,True
779,Yang Zhao,Yang Zhao,Person,,7,8,ComposerOf; LyricistOf; PerformerOf,Doom Metal,Doom Metal; Dream Pop; Indie Folk,2013,2022,9,7,17,False
753,Lei Yan,Lei Yan,Person,,6,11,ComposerOf; PerformerOf; ProducerOf,Jazz Surf Rock,Dream Pop; Indie Rock; Jazz Surf Rock,1996,2029,33,6,17,False
1924,Ida Hentschel,Ida Hentschel,Person,,5,6,ComposerOf; PerformerOf; ProducerOf,Doom Metal,Americana; Doom Metal,2004,2020,16,5,17,False
678,Nathan Bryant,Nathan Bryant,Person,,4,5,PerformerOf; ProducerOf,Desert Rock,Desert Rock; Dream Pop; Indie Rock; Symphonic Metal,2011,2018,7,4,17,False
3410,Xia Deng,Xia Deng,Person,,3,3,PerformerOf; ProducerOf,Southern Gothic Rock,Desert Rock; Southern Gothic Rock,1987,2022,35,3,17,False
16891,Insurgencia,Insurgencia,MusicalGroup,,3,3,LyricistOf; PerformerOf,Lo-Fi Electronica,Lo-Fi Electronica,1998,2014,16,3,17,False
2506,Xiuying Zhu,Xiuying Zhu,Person,,2,3,LyricistOf; PerformerOf; ProducerOf,Doom Metal,Doom Metal; Synthpop,2017,2021,4,2,17,False
2023,Qiang Tang,Qiang Tang,Person,,16,19,ComposerOf; LyricistOf; PerformerOf,Doom Metal,Americana; Doom Metal; Dream Pop; Indie Folk; Psychedelic Rock; Symphonic Metal; Synthwave,2010,2029,19,15,16,False
223,Borys Kościk,Borys Kościk,Person,,8,8,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Dream Pop; Indie Folk; Jazz Surf Rock,1991,2010,19,8,16,False
150,Li Luo,Li Luo,Person,,7,10,LyricistOf; PerformerOf; ProducerOf,Speed Metal,Speed Metal,1991,2013,22,7,16,False
633,Guiying Shi,Guiying Shi,Person,,6,8,LyricistOf; PerformerOf; ProducerOf,Alternative Rock,Alternative Rock; Indie Pop; Indie Rock,1985,2029,44,6,16,False
3084,Karen Wright,Karen Wright,Person,,6,7,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Avant-Garde Folk,Avant-Garde Folk; Indie Pop; Southern Gothic Rock,2015,2029,14,6,16,False
1474,Tonya Brown,Tonya Brown,Person,,5,6,PerformerOf; ProducerOf,Doom Metal,Doom Metal; Indie Folk,2004,2023,19,5,16,False
1932,Shaan Sanghvi,Shaan Sanghvi,Person,,5,13,ComposerOf; LyricistOf; PerformerOf; ProducerOf,Dream Pop,Dream Pop,1984,2017,33,5,16,False
2546,Erdogan Baum,Erdogan Baum,Person,,5,5,ComposerOf; LyricistOf; PerformerOf,Dream Pop,Dream Pop; Psychedelic Rock; Symphonic Metal,2013,2027,14,5,16,False
4284,Tarini Hans,Tarini Hans,Person,,5,7,ComposerOf; PerformerOf; ProducerOf,Dream Pop,Desert Rock; Dream Pop,2012,2020,8,5,16,False
8613,Roy Tschentscher,Roy Tschentscher,Person,,5,7,LyricistOf; PerformerOf; ProducerOf,Dream Pop,Dream Pop; Synthwave,2023,2028,5,5,16,False
